date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20250113,0,AQI,98.0,99.0,88.0,85.0,89.0,78.0,80.0,69.0,59.0,44.0,69.0,67.0,100.0,64.0,54.0,72.0,66.0,58.0,43.0,22.0,41.0
20250113,0,PM2.5,73.0,74.0,52.0,49.0,66.0,51.0,53.0,39.0,39.0,21.0,48.0,48.0,64.0,34.0,29.0,52.0,41.0,37.0,21.0,12.0,18.0
20250113,0,PM10,139.0,110.0,126.0,120.0,114.0,106.0,109.0,88.0,67.0,44.0,88.0,83.0,150.0,78.0,58.0,62.0,81.0,66.0,43.0,22.0,41.0
20250113,0,SO2,10.0,7.0,5.0,9.0,3.0,7.0,8.0,5.0,5.0,12.0,7.0,6.0,7.0,8.0,7.0,8.0,4.0,4.0,6.0,5.0,4.0
20250113,0,NO2,128.0,103.0,111.0,94.0,95.0,90.0,99.0,76.0,77.0,23.0,89.0,74.0,77.0,88.0,67.0,112.0,87.0,70.0,64.0,19.0,28.0
20250113,0,O3,5.0,5.0,4.0,8.0,7.0,8.0,5.0,8.0,16.0,70.0,8.0,4.0,4.0,12.0,7.0,4.0,8.0,30.0,3.0,60.0,46.0
20250113,0,CO,1.4,1.4,1.4,1.0,1.1,0.9,1.2,0.6,0.7,0.4,0.8,0.8,1.0,0.6,0.7,0.8,0.9,0.7,0.5,0.4,0.5
20250113,1,AQI,99.0,105.0,103.0,78.0,97.0,75.0,89.0,69.0,70.0,51.0,66.0,60.0,92.0,75.0,53.0,70.0,67.0,73.0,40.0,21.0,46.0
20250113,1,PM2.5,74.0,79.0,70.0,44.0,72.0,46.0,60.0,41.0,50.0,23.0,43.0,41.0,61.0,42.0,28.0,51.0,43.0,53.0,20.0,11.0,21.0
20250113,1,PM10,146.0,123.0,156.0,105.0,123.0,100.0,127.0,88.0,89.0,51.0,82.0,70.0,134.0,99.0,55.0,77.0,83.0,69.0,40.0,21.0,46.0
20250113,1,SO2,11.0,8.0,6.0,8.0,2.0,6.0,8.0,5.0,6.0,12.0,8.0,6.0,7.0,8.0,7.0,8.0,5.0,3.0,7.0,5.0,4.0
20250113,1,NO2,130.0,106.0,107.0,95.0,90.0,92.0,101.0,74.0,91.0,32.0,92.0,67.0,75.0,98.0,66.0,115.0,90.0,73.0,64.0,20.0,30.0
