date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240923,0,AQI,30.0,28.0,27.0,28.0,26.0,28.0,28.0,19.0,28.0,24.0,22.0,22.0,24.0,30.0,29.0,22.0,22.0,22.0,25.0,22.0,19.0
20240923,0,PM2.5,20.0,14.0,18.0,13.0,7.0,3.0,19.0,10.0,18.0,13.0,11.0,11.0,15.0,17.0,18.0,15.0,15.0,14.0,16.0,8.0,9.0
20240923,0,PM10,30.0,28.0,27.0,28.0,26.0,19.0,28.0,14.0,28.0,19.0,22.0,16.0,21.0,30.0,29.0,22.0,20.0,22.0,22.0,20.0,18.0
20240923,0,SO2,5.0,4.0,4.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,7.0,5.0,6.0,6.0,5.0,8.0,7.0,6.0,6.0,5.0
20240923,0,NO2,16.0,9.0,10.0,14.0,11.0,8.0,10.0,8.0,22.0,5.0,12.0,8.0,6.0,20.0,6.0,12.0,12.0,14.0,8.0,6.0,10.0
20240923,0,O3,62.0,67.0,62.0,54.0,60.0,89.0,62.0,59.0,55.0,74.0,60.0,70.0,75.0,64.0,64.0,52.0,54.0,45.0,77.0,69.0,59.0
20240923,0,CO,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.8,0.8,0.5,0.5,0.7,0.6,0.7,0.6
20240923,1,AQI,30.0,28.0,26.0,26.0,26.0,26.0,28.0,18.0,28.0,25.0,22.0,25.0,27.0,30.0,29.0,22.0,23.0,22.0,25.0,25.0,20.0
20240923,1,PM2.5,20.0,13.0,18.0,13.0,6.0,3.0,18.0,11.0,18.0,13.0,10.0,11.0,15.0,17.0,18.0,15.0,16.0,14.0,16.0,9.0,9.0
20240923,1,PM10,30.0,28.0,26.0,26.0,26.0,19.0,28.0,14.0,28.0,15.0,22.0,18.0,23.0,30.0,29.0,16.0,,22.0,23.0,22.0,18.0
20240923,1,SO2,5.0,5.0,4.0,3.0,4.0,4.0,4.0,6.0,5.0,6.0,4.0,7.0,5.0,5.0,6.0,5.0,8.0,7.0,7.0,6.0,5.0
20240923,1,NO2,13.0,8.0,10.0,15.0,11.0,9.0,11.0,8.0,17.0,5.0,11.0,8.0,7.0,20.0,6.0,12.0,12.0,12.0,8.0,6.0,9.0
20240923,1,O3,72.0,73.0,65.0,55.0,60.0,83.0,66.0,57.0,65.0,78.0,64.0,79.0,84.0,70.0,67.0,54.0,56.0,48.0,78.0,78.0,61.0
20240923,1,CO,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.8,0.8,0.5,0.5,0.7,0.6,0.7,0.6
20240923,3,AQI,31.0,30.0,26.0,25.0,24.0,25.0,30.0,20.0,,30.0,24.0,29.0,30.0,30.0,29.0,20.0,23.0,20.0,28.0,27.0,20.0
20240923,3,PM2.5,21.0,13.0,18.0,12.0,3.0,3.0,21.0,14.0,20.0,13.0,10.0,11.0,17.0,16.0,17.0,13.0,16.0,13.0,19.0,11.0,9.0
20240923,3,PM10,31.0,30.0,26.0,25.0,24.0,20.0,27.0,18.0,30.0,28.0,23.0,21.0,24.0,30.0,29.0,14.0,19.0,20.0,26.0,23.0,16.0
20240923,3,SO2,5.0,4.0,5.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,7.0,5.0,6.0,6.0,5.0,7.0,7.0,6.0,6.0,5.0
20240923,3,NO2,15.0,9.0,10.0,16.0,10.0,9.0,10.0,10.0,19.0,5.0,10.0,7.0,7.0,18.0,6.0,12.0,14.0,12.0,8.0,6.0,9.0
20240923,3,O3,85.0,87.0,75.0,56.0,69.0,78.0,83.0,50.0,,93.0,75.0,91.0,93.0,86.0,78.0,63.0,56.0,50.0,77.0,86.0,64.0
20240923,3,CO,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.6,0.8,0.8,0.5,0.6,0.6,0.6,0.7,0.6
20240923,4,AQI,31.0,32.0,27.0,26.0,25.0,24.0,29.0,20.0,,30.0,26.0,29.0,30.0,29.0,29.0,21.0,22.0,20.0,26.0,27.0,22.0
20240923,4,PM2.5,20.0,14.0,18.0,12.0,3.0,6.0,20.0,14.0,19.0,13.0,10.0,11.0,16.0,16.0,16.0,13.0,15.0,14.0,18.0,12.0,8.0
20240923,4,PM10,31.0,32.0,26.0,26.0,25.0,22.0,27.0,18.0,30.0,22.0,23.0,21.0,25.0,29.0,29.0,13.0,,18.0,26.0,26.0,15.0
20240923,4,SO2,5.0,5.0,5.0,3.0,4.0,6.0,5.0,6.0,6.0,6.0,4.0,7.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,5.0
20240923,4,NO2,13.0,9.0,10.0,17.0,10.0,8.0,10.0,12.0,19.0,6.0,11.0,7.0,8.0,17.0,7.0,12.0,15.0,14.0,8.0,7.0,9.0
20240923,4,O3,89.0,92.0,84.0,59.0,72.0,75.0,86.0,44.0,,93.0,83.0,91.0,95.0,89.0,85.0,67.0,52.0,42.0,73.0,85.0,68.0
20240923,4,CO,0.7,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,0.8,0.8,0.5,0.6,0.6,0.6,0.7,0.6
20240923,5,AQI,30.0,32.0,27.0,26.0,25.0,23.0,27.0,20.0,30.0,30.0,27.0,29.0,30.0,28.0,30.0,22.0,22.0,22.0,28.0,27.0,23.0
20240923,5,PM2.5,20.0,14.0,17.0,12.0,3.0,7.0,18.0,14.0,19.0,13.0,10.0,12.0,16.0,15.0,17.0,13.0,15.0,15.0,19.0,12.0,8.0
20240923,5,PM10,30.0,32.0,25.0,26.0,25.0,23.0,27.0,18.0,30.0,22.0,22.0,23.0,25.0,28.0,30.0,14.0,,16.0,27.0,27.0,14.0
20240923,5,SO2,5.0,5.0,5.0,3.0,4.0,6.0,5.0,6.0,6.0,7.0,4.0,7.0,5.0,6.0,5.0,5.0,6.0,7.0,7.0,6.0,5.0
20240923,5,NO2,14.0,8.0,10.0,17.0,12.0,9.0,12.0,12.0,22.0,5.0,10.0,7.0,7.0,18.0,8.0,13.0,14.0,15.0,9.0,8.0,9.0
20240923,5,O3,88.0,94.0,84.0,59.0,72.0,73.0,85.0,44.0,77.0,94.0,85.0,90.0,94.0,88.0,80.0,69.0,56.0,46.0,75.0,84.0,71.0
20240923,5,CO,0.7,0.7,0.6,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.5,0.6,0.6,0.6,0.7,0.6
20240923,6,AQI,30.0,33.0,26.0,26.0,26.0,25.0,27.0,20.0,38.0,29.0,25.0,28.0,30.0,29.0,31.0,19.0,22.0,19.0,29.0,27.0,23.0
20240923,6,PM2.5,19.0,13.0,16.0,12.0,7.0,8.0,17.0,14.0,19.0,13.0,10.0,12.0,14.0,15.0,18.0,13.0,15.0,13.0,19.0,12.0,7.0
20240923,6,PM10,30.0,33.0,26.0,26.0,26.0,25.0,27.0,18.0,38.0,22.0,22.0,24.0,25.0,29.0,31.0,15.0,20.0,17.0,29.0,27.0,13.0
20240923,6,SO2,6.0,5.0,5.0,3.0,4.0,5.0,5.0,6.0,5.0,7.0,4.0,7.0,5.0,6.0,4.0,5.0,6.0,7.0,8.0,6.0,5.0
20240923,6,NO2,14.0,9.0,10.0,17.0,20.0,9.0,12.0,13.0,28.0,6.0,12.0,8.0,7.0,24.0,9.0,15.0,15.0,13.0,11.0,7.0,9.0
20240923,6,O3,87.0,91.0,82.0,57.0,56.0,79.0,83.0,45.0,67.0,90.0,79.0,87.0,94.0,78.0,71.0,54.0,58.0,51.0,76.0,83.0,73.0
20240923,6,CO,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.6,0.5,0.6,0.6,0.5,0.8,0.9,0.5,0.6,0.7,0.6,0.7,0.6
20240923,7,AQI,31.0,35.0,27.0,23.0,25.0,26.0,25.0,20.0,28.0,29.0,24.0,27.0,29.0,30.0,33.0,20.0,21.0,23.0,28.0,27.0,23.0
20240923,7,PM2.5,20.0,13.0,16.0,12.0,10.0,9.0,16.0,14.0,17.0,16.0,11.0,12.0,15.0,16.0,19.0,14.0,14.0,15.0,18.0,12.0,7.0
20240923,7,PM10,31.0,35.0,27.0,23.0,25.0,26.0,25.0,19.0,28.0,29.0,21.0,23.0,25.0,30.0,33.0,,21.0,23.0,28.0,27.0,12.0
20240923,7,SO2,6.0,4.0,5.0,2.0,4.0,6.0,5.0,6.0,5.0,7.0,4.0,8.0,5.0,6.0,5.0,5.0,7.0,7.0,8.0,6.0,5.0
20240923,7,NO2,24.0,10.0,12.0,16.0,20.0,10.0,15.0,9.0,32.0,7.0,14.0,7.0,8.0,36.0,8.0,15.0,19.0,19.0,10.0,8.0,9.0
20240923,7,O3,72.0,87.0,80.0,49.0,55.0,80.0,76.0,62.0,58.0,86.0,74.0,86.0,90.0,59.0,71.0,53.0,55.0,47.0,78.0,79.0,72.0
20240923,7,CO,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.4,0.6,0.6,0.5,0.8,0.9,0.5,0.6,0.7,0.6,0.7,0.7
20240923,8,AQI,32.0,37.0,32.0,25.0,26.0,26.0,26.0,25.0,31.0,30.0,23.0,26.0,27.0,30.0,34.0,20.0,22.0,22.0,26.0,26.0,21.0
20240923,8,PM2.5,19.0,14.0,17.0,13.0,11.0,9.0,16.0,17.0,18.0,21.0,11.0,11.0,15.0,16.0,20.0,14.0,15.0,15.0,17.0,12.0,7.0
20240923,8,PM10,32.0,37.0,32.0,25.0,26.0,26.0,26.0,23.0,31.0,27.0,23.0,23.0,26.0,30.0,34.0,,15.0,20.0,26.0,26.0,13.0
20240923,8,SO2,5.0,5.0,4.0,3.0,4.0,6.0,5.0,6.0,5.0,6.0,4.0,8.0,5.0,6.0,5.0,5.0,8.0,7.0,8.0,6.0,5.0
20240923,8,NO2,23.0,11.0,14.0,18.0,22.0,11.0,17.0,10.0,23.0,7.0,14.0,8.0,8.0,27.0,9.0,15.0,26.0,21.0,9.0,9.0,11.0
20240923,8,O3,71.0,85.0,76.0,55.0,63.0,81.0,71.0,69.0,65.0,81.0,72.0,82.0,86.0,73.0,75.0,62.0,48.0,44.0,76.0,73.0,65.0
20240923,8,CO,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.7,0.5,0.5,0.6,0.6,0.6,0.8,0.9,0.5,0.7,0.7,0.6,0.7,0.7
20240923,9,AQI,31.0,36.0,26.0,26.0,26.0,26.0,25.0,26.0,30.0,25.0,24.0,23.0,28.0,28.0,31.0,21.0,21.0,24.0,23.0,22.0,19.0
20240923,9,PM2.5,18.0,14.0,16.0,13.0,12.0,9.0,16.0,17.0,16.0,17.0,12.0,12.0,16.0,15.0,18.0,14.0,13.0,15.0,14.0,11.0,7.0
20240923,9,PM10,31.0,36.0,26.0,26.0,26.0,26.0,25.0,26.0,30.0,22.0,24.0,23.0,28.0,28.0,31.0,15.0,21.0,24.0,23.0,22.0,13.0
20240923,9,SO2,6.0,5.0,4.0,3.0,4.0,5.0,5.0,6.0,5.0,6.0,4.0,8.0,5.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0
20240923,9,NO2,17.0,13.0,13.0,12.0,18.0,12.0,14.0,11.0,16.0,9.0,13.0,10.0,10.0,23.0,9.0,13.0,26.0,22.0,6.0,8.0,10.0
20240923,9,O3,77.0,81.0,73.0,71.0,67.0,75.0,73.0,64.0,72.0,73.0,72.0,73.0,78.0,74.0,73.0,66.0,50.0,44.0,73.0,69.0,60.0
