date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20250106,0,AQI,115.0,125.0,95.0,92.0,93.0,88.0,104.0,100.0,112.0,68.0,94.0,100.0,114.0,108.0,79.0,92.0,95.0,92.0,80.0,52.0,57.0
20250106,0,PM2.5,87.0,95.0,71.0,68.0,69.0,65.0,78.0,75.0,84.0,49.0,70.0,75.0,86.0,81.0,58.0,68.0,71.0,68.0,59.0,36.0,40.0
20250106,0,PM10,134.0,129.0,94.0,110.0,111.0,96.0,132.0,110.0,117.0,64.0,106.0,114.0,125.0,144.0,81.0,98.0,107.0,108.0,83.0,49.0,59.0
20250106,0,SO2,12.0,8.0,8.0,8.0,8.0,14.0,9.0,8.0,6.0,10.0,10.0,11.0,11.0,10.0,8.0,12.0,10.0,12.0,14.0,6.0,6.0
20250106,0,NO2,112.0,77.0,41.0,121.0,59.0,32.0,111.0,58.0,105.0,19.0,42.0,60.0,59.0,109.0,30.0,75.0,84.0,72.0,22.0,24.0,17.0
20250106,0,O3,25.0,51.0,100.0,21.0,86.0,111.0,30.0,56.0,25.0,116.0,84.0,57.0,58.0,25.0,96.0,59.0,44.0,54.0,110.0,79.0,110.0
20250106,0,CO,1.0,1.0,0.9,1.0,1.0,0.9,1.3,0.9,1.0,0.7,0.9,1.0,1.1,1.1,0.9,0.9,0.9,0.9,0.8,0.7,1.2
20250106,1,AQI,115.0,123.0,90.0,89.0,89.0,79.0,100.0,95.0,110.0,72.0,89.0,99.0,99.0,103.0,78.0,83.0,98.0,92.0,80.0,52.0,59.0
20250106,1,PM2.5,87.0,93.0,67.0,66.0,66.0,58.0,75.0,71.0,83.0,52.0,66.0,74.0,74.0,77.0,57.0,61.0,73.0,68.0,59.0,36.0,42.0
20250106,1,PM10,138.0,124.0,89.0,107.0,104.0,84.0,129.0,106.0,115.0,70.0,103.0,112.0,105.0,130.0,78.0,94.0,118.0,111.0,83.0,48.0,62.0
20250106,1,SO2,13.0,9.0,8.0,7.0,7.0,11.0,10.0,8.0,7.0,10.0,9.0,10.0,11.0,12.0,8.0,11.0,9.0,12.0,14.0,6.0,6.0
20250106,1,NO2,114.0,64.0,39.0,124.0,68.0,31.0,86.0,47.0,81.0,20.0,39.0,63.0,45.0,80.0,30.0,76.0,90.0,80.0,19.0,16.0,17.0
20250106,1,O3,25.0,68.0,96.0,10.0,71.0,107.0,47.0,66.0,44.0,110.0,82.0,44.0,76.0,54.0,92.0,55.0,30.0,39.0,129.0,88.0,104.0
20250106,1,CO,1.0,1.0,0.8,1.0,1.0,0.8,1.2,0.9,1.0,0.7,0.8,1.0,1.0,1.0,0.9,0.9,1.0,0.9,0.8,0.7,1.2
20250106,2,AQI,110.0,112.0,92.0,88.0,84.0,82.0,92.0,97.0,100.0,72.0,88.0,85.0,90.0,102.0,83.0,80.0,94.0,88.0,79.0,53.0,62.0
20250106,2,PM2.5,83.0,84.0,68.0,65.0,62.0,60.0,68.0,72.0,75.0,52.0,65.0,63.0,67.0,76.0,61.0,59.0,70.0,65.0,58.0,37.0,44.0
20250106,2,PM10,133.0,110.0,90.0,103.0,94.0,83.0,113.0,107.0,103.0,67.0,104.0,93.0,93.0,122.0,84.0,90.0,118.0,118.0,82.0,49.0,65.0
20250106,2,SO2,13.0,9.0,8.0,8.0,7.0,9.0,10.0,8.0,8.0,10.0,9.0,8.0,11.0,11.0,8.0,11.0,10.0,10.0,13.0,6.0,6.0
20250106,2,NO2,100.0,43.0,35.0,98.0,55.0,28.0,51.0,44.0,43.0,20.0,29.0,44.0,33.0,56.0,30.0,76.0,84.0,76.0,19.0,12.0,18.0
20250106,2,O3,36.0,91.0,98.0,33.0,81.0,114.0,77.0,67.0,85.0,105.0,91.0,68.0,92.0,73.0,89.0,54.0,33.0,38.0,127.0,94.0,101.0
20250106,2,CO,0.9,0.9,0.8,0.9,0.9,0.8,1.1,0.9,0.9,0.7,0.8,0.9,0.9,1.0,0.9,0.8,1.0,0.9,0.8,0.7,1.2
20250106,3,AQI,94.0,104.0,93.0,92.0,84.0,84.0,88.0,95.0,94.0,75.0,85.0,80.0,89.0,95.0,84.0,82.0,78.0,80.0,78.0,54.0,62.0
20250106,3,PM2.5,70.0,78.0,69.0,68.0,62.0,62.0,65.0,71.0,70.0,55.0,63.0,59.0,66.0,71.0,62.0,60.0,57.0,57.0,57.0,38.0,44.0
20250106,3,PM10,110.0,101.0,92.0,104.0,92.0,85.0,106.0,103.0,95.0,70.0,98.0,86.0,90.0,112.0,85.0,87.0,102.0,109.0,84.0,50.0,65.0
20250106,3,SO2,12.0,9.0,8.0,8.0,6.0,8.0,10.0,7.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,8.0,12.0,6.0,7.0
20250106,3,NO2,53.0,35.0,35.0,49.0,52.0,28.0,40.0,42.0,32.0,22.0,30.0,40.0,33.0,58.0,26.0,63.0,48.0,61.0,19.0,20.0,16.0
20250106,3,O3,82.0,94.0,94.0,79.0,80.0,115.0,85.0,60.0,96.0,103.0,84.0,67.0,87.0,65.0,94.0,66.0,66.0,52.0,128.0,76.0,108.0
20250106,3,CO,0.8,0.8,0.8,0.9,0.9,0.7,1.1,0.8,0.9,0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.9,0.8,0.8,0.7,1.2
20250106,4,AQI,92.0,98.0,87.0,83.0,87.0,85.0,84.0,90.0,92.0,67.0,84.0,78.0,88.0,88.0,80.0,78.0,72.0,71.0,80.0,55.0,63.0
20250106,4,PM2.5,68.0,73.0,64.0,61.0,64.0,63.0,62.0,67.0,68.0,48.0,62.0,57.0,65.0,65.0,59.0,57.0,52.0,50.0,59.0,39.0,45.0
20250106,4,PM10,107.0,93.0,83.0,92.0,94.0,87.0,100.0,95.0,91.0,62.0,92.0,82.0,87.0,101.0,81.0,83.0,82.0,91.0,86.0,52.0,67.0
20250106,4,SO2,12.0,8.0,7.0,8.0,7.0,8.0,9.0,6.0,8.0,8.0,8.0,7.0,9.0,10.0,7.0,11.0,13.0,8.0,13.0,6.0,6.0
20250106,4,NO2,47.0,30.0,28.0,43.0,44.0,26.0,38.0,37.0,33.0,21.0,26.0,40.0,29.0,46.0,24.0,42.0,31.0,43.0,20.0,15.0,15.0
