date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20250331,0,AQI,16.0,11.0,10.0,13.0,14.0,13.0,11.0,11.0,11.0,25.0,10.0,14.0,15.0,10.0,10.0,13.0,15.0,18.0,12.0,12.0,10.0
20250331,0,PM2.5,9.0,7.0,3.0,3.0,6.0,7.0,6.0,3.0,6.0,17.0,6.0,3.0,3.0,7.0,3.0,3.0,10.0,12.0,3.0,3.0,3.0
20250331,0,PM10,15.0,11.0,7.0,8.0,14.0,13.0,11.0,6.0,10.0,,10.0,6.0,6.0,10.0,7.0,8.0,12.0,15.0,6.0,6.0,6.0
20250331,0,SO2,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,7.0,6.0,3.0,6.0,5.0,4.0,4.0,4.0,6.0,7.0
20250331,0,NO2,31.0,14.0,19.0,25.0,27.0,12.0,22.0,11.0,22.0,11.0,18.0,9.0,12.0,20.0,12.0,25.0,30.0,27.0,10.0,9.0,9.0
20250331,0,O3,19.0,28.0,27.0,20.0,22.0,31.0,30.0,34.0,24.0,32.0,26.0,42.0,46.0,29.0,30.0,24.0,17.0,18.0,38.0,37.0,31.0
20250331,0,CO,0.4,0.7,0.4,0.8,0.4,0.6,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.5,0.4,0.7,0.7,0.5,0.4,0.3
20250331,1,AQI,12.0,10.0,10.0,12.0,12.0,11.0,12.0,12.0,11.0,18.0,10.0,14.0,15.0,10.0,10.0,12.0,15.0,16.0,12.0,13.0,10.0
20250331,1,PM2.5,7.0,6.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,12.0,3.0,3.0,3.0,6.0,3.0,3.0,9.0,10.0,3.0,3.0,3.0
20250331,1,PM10,12.0,9.0,7.0,6.0,9.0,10.0,10.0,6.0,8.0,,9.0,6.0,6.0,9.0,6.0,7.0,,16.0,6.0,6.0,6.0
20250331,1,SO2,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,7.0,6.0,3.0,6.0,5.0,4.0,4.0,4.0,6.0,7.0
20250331,1,NO2,24.0,13.0,17.0,24.0,24.0,11.0,24.0,10.0,22.0,9.0,15.0,8.0,12.0,18.0,12.0,24.0,30.0,26.0,12.0,8.0,9.0
20250331,1,O3,28.0,31.0,30.0,23.0,25.0,35.0,29.0,36.0,25.0,35.0,30.0,42.0,47.0,31.0,30.0,26.0,15.0,17.0,36.0,40.0,31.0
20250331,1,CO,0.4,0.7,0.4,0.8,0.4,0.5,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.7,0.7,0.5,0.4,0.3
20250331,2,AQI,12.0,11.0,11.0,10.0,11.0,12.0,11.0,12.0,10.0,12.0,10.0,15.0,16.0,11.0,11.0,13.0,13.0,13.0,12.0,13.0,10.0
20250331,2,PM2.5,6.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,9.0,3.0,3.0,3.0
20250331,2,PM10,12.0,8.0,6.0,6.0,9.0,8.0,8.0,6.0,7.0,,9.0,6.0,6.0,8.0,6.0,7.0,8.0,13.0,6.0,6.0,6.0
20250331,2,SO2,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,7.0,6.0,3.0,6.0,5.0,4.0,3.0,4.0,6.0,7.0
20250331,2,NO2,24.0,11.0,14.0,20.0,22.0,10.0,19.0,10.0,20.0,8.0,14.0,7.0,11.0,16.0,10.0,25.0,26.0,25.0,10.0,8.0,9.0
20250331,2,O3,29.0,33.0,34.0,27.0,28.0,36.0,34.0,36.0,27.0,36.0,31.0,45.0,49.0,33.0,34.0,25.0,17.0,16.0,37.0,40.0,32.0
20250331,2,CO,0.3,0.7,0.4,0.8,0.4,0.5,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.4,0.3,0.7,0.6,0.5,0.4,0.3
20250331,3,AQI,12.0,11.0,11.0,10.0,10.0,12.0,11.0,12.0,10.0,11.0,11.0,15.0,16.0,11.0,11.0,12.0,12.0,12.0,11.0,13.0,10.0
20250331,3,PM2.5,6.0,3.0,3.0,3.0,3.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,8.0,6.0,3.0,3.0
20250331,3,PM10,12.0,8.0,6.0,6.0,7.0,10.0,8.0,6.0,7.0,,9.0,6.0,6.0,8.0,6.0,7.0,,9.0,6.0,6.0,6.0
20250331,3,SO2,3.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,7.0,6.0,3.0,6.0,5.0,4.0,3.0,4.0,6.0,7.0
20250331,3,NO2,24.0,10.0,14.0,19.0,20.0,11.0,18.0,9.0,17.0,9.0,13.0,6.0,10.0,15.0,9.0,23.0,24.0,24.0,10.0,8.0,8.0
20250331,3,O3,28.0,34.0,34.0,27.0,31.0,33.0,35.0,36.0,30.0,34.0,33.0,46.0,50.0,34.0,34.0,28.0,20.0,17.0,34.0,40.0,32.0
20250331,3,CO,0.4,0.7,0.4,0.8,0.4,0.5,0.4,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.7,0.6,0.5,0.4,0.3
20250331,4,AQI,16.0,11.0,11.0,10.0,10.0,16.0,12.0,12.0,10.0,11.0,12.0,15.0,15.0,11.0,11.0,11.0,12.0,11.0,10.0,13.0,10.0
20250331,4,PM2.5,8.0,3.0,3.0,3.0,3.0,11.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,3.0,6.0,7.0,7.0,3.0,3.0
20250331,4,PM10,16.0,9.0,7.0,6.0,7.0,12.0,9.0,6.0,8.0,,10.0,6.0,7.0,9.0,6.0,7.0,8.0,10.0,,6.0,6.0
20250331,4,SO2,3.0,1.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,7.0,6.0,4.0,7.0,5.0,4.0,4.0,4.0,6.0,7.0
20250331,4,NO2,23.0,9.0,13.0,19.0,19.0,12.0,18.0,9.0,19.0,9.0,11.0,6.0,10.0,14.0,9.0,22.0,24.0,22.0,11.0,8.0,8.0
20250331,4,O3,28.0,34.0,35.0,27.0,32.0,32.0,36.0,38.0,29.0,34.0,36.0,45.0,48.0,34.0,33.0,28.0,20.0,20.0,32.0,40.0,32.0
