date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240425,0,AQI,30.0,28.0,25.0,34.0,32.0,55.0,30.0,48.0,30.0,47.0,29.0,35.0,66.0,43.0,36.0,32.0,38.0,35.0,37.0,33.0,49.0
20240425,0,PM2.5,19.0,19.0,16.0,13.0,14.0,30.0,19.0,30.0,18.0,25.0,16.0,20.0,45.0,27.0,19.0,12.0,23.0,20.0,21.0,23.0,32.0
20240425,0,PM10,30.0,28.0,24.0,22.0,25.0,59.0,30.0,48.0,30.0,47.0,29.0,35.0,82.0,43.0,,32.0,23.0,21.0,37.0,32.0,49.0
20240425,0,SO2,5.0,7.0,4.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,4.0,5.0,2.0,6.0,6.0,6.0,4.0,6.0
20240425,0,NO2,42.0,34.0,50.0,68.0,63.0,53.0,42.0,34.0,36.0,52.0,39.0,17.0,60.0,59.0,71.0,38.0,76.0,69.0,12.0,25.0,24.0
20240425,0,O3,32.0,38.0,22.0,3.0,9.0,35.0,27.0,40.0,28.0,28.0,23.0,55.0,22.0,19.0,6.0,27.0,4.0,4.0,102.0,28.0,65.0
20240425,0,CO,0.9,0.7,0.6,0.6,0.8,0.8,0.6,0.9,0.6,0.8,0.7,0.6,0.8,0.9,0.8,0.7,0.8,0.8,0.8,0.6,0.7
20240425,1,AQI,29.0,29.0,31.0,32.0,32.0,33.0,29.0,26.0,29.0,30.0,30.0,31.0,22.0,32.0,35.0,34.0,38.0,28.0,36.0,33.0,30.0
20240425,1,PM2.5,18.0,20.0,20.0,15.0,14.0,10.0,19.0,7.0,17.0,6.0,16.0,18.0,10.0,20.0,20.0,15.0,24.0,19.0,11.0,23.0,18.0
20240425,1,PM10,29.0,28.0,30.0,24.0,28.0,17.0,29.0,13.0,29.0,14.0,30.0,31.0,20.0,32.0,20.0,34.0,31.0,25.0,22.0,30.0,30.0
20240425,1,SO2,4.0,7.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,6.0,4.0,4.0,2.0,6.0,6.0,5.0,4.0,6.0
