date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240424,0,AQI,38.0,30.0,32.0,37.0,32.0,29.0,34.0,35.0,33.0,29.0,31.0,32.0,36.0,52.0,38.0,30.0,19.0,19.0,13.0,30.0,32.0
20240424,0,PM2.5,22.0,20.0,19.0,18.0,16.0,20.0,22.0,24.0,21.0,18.0,21.0,22.0,25.0,36.0,26.0,14.0,13.0,12.0,8.0,14.0,22.0
20240424,0,PM10,32.0,30.0,30.0,28.0,27.0,29.0,33.0,29.0,33.0,29.0,31.0,30.0,33.0,52.0,35.0,30.0,17.0,19.0,13.0,30.0,32.0
20240424,0,SO2,5.0,7.0,4.0,5.0,4.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,2.0,5.0,6.0,6.0,4.0,5.0
20240424,0,NO2,75.0,60.0,64.0,73.0,63.0,25.0,68.0,27.0,54.0,14.0,58.0,36.0,44.0,55.0,53.0,59.0,35.0,24.0,17.0,10.0,22.0
20240424,0,O3,3.0,12.0,4.0,3.0,8.0,39.0,3.0,14.0,1.0,10.0,5.0,8.0,8.0,3.0,1.0,8.0,29.0,29.0,39.0,19.0,11.0
20240424,0,CO,1.0,0.8,0.7,0.6,0.8,0.8,0.7,0.8,0.8,0.7,0.9,0.6,0.9,1.1,1.0,0.6,0.7,0.6,0.8,0.9,0.7
20240424,1,AQI,36.0,32.0,33.0,36.0,32.0,21.0,35.0,30.0,34.0,35.0,32.0,35.0,30.0,51.0,42.0,32.0,25.0,24.0,14.0,27.0,30.0
20240424,1,PM2.5,24.0,22.0,17.0,24.0,18.0,13.0,24.0,21.0,22.0,16.0,22.0,24.0,21.0,35.0,29.0,13.0,15.0,12.0,8.0,12.0,20.0
20240424,1,PM10,34.0,31.0,27.0,36.0,32.0,21.0,34.0,26.0,34.0,35.0,31.0,33.0,30.0,51.0,38.0,29.0,25.0,24.0,14.0,27.0,30.0
20240424,1,SO2,5.0,6.0,4.0,5.0,4.0,7.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,5.0,4.0,2.0,5.0,6.0,7.0,5.0,6.0
20240424,1,NO2,71.0,62.0,66.0,66.0,63.0,20.0,67.0,23.0,48.0,10.0,60.0,32.0,42.0,53.0,46.0,64.0,42.0,19.0,17.0,6.0,17.0
20240424,1,O3,3.0,10.0,4.0,3.0,4.0,40.0,2.0,12.0,1.0,5.0,3.0,6.0,3.0,3.0,1.0,3.0,15.0,25.0,35.0,28.0,22.0
20240424,1,CO,1.1,0.8,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.8,0.7,0.9,1.1,1.0,0.6,0.8,0.6,0.8,0.9,0.7
20240424,2,AQI,38.0,30.0,33.0,38.0,34.0,19.0,33.0,28.0,34.0,29.0,40.0,38.0,23.0,48.0,46.0,34.0,26.0,28.0,15.0,23.0,29.0
20240424,2,PM2.5,26.0,21.0,20.0,25.0,18.0,11.0,23.0,19.0,23.0,15.0,28.0,25.0,16.0,32.0,32.0,16.0,16.0,16.0,9.0,9.0,20.0
20240424,2,PM10,35.0,29.0,32.0,38.0,34.0,19.0,33.0,23.0,34.0,29.0,37.0,38.0,22.0,48.0,41.0,28.0,26.0,28.0,15.0,23.0,29.0
20240424,2,SO2,5.0,6.0,4.0,6.0,4.0,8.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,4.0,2.0,5.0,6.0,9.0,5.0,6.0
20240424,2,NO2,62.0,57.0,66.0,61.0,56.0,18.0,60.0,32.0,46.0,9.0,55.0,39.0,43.0,46.0,42.0,67.0,48.0,35.0,15.0,9.0,14.0
20240424,2,O3,3.0,10.0,4.0,3.0,7.0,42.0,2.0,2.0,1.0,7.0,3.0,5.0,6.0,3.0,1.0,2.0,6.0,16.0,36.0,34.0,21.0
20240424,2,CO,1.1,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.7,0.8,0.6,0.9,1.1,0.9,0.6,0.8,0.6,0.8,0.8,0.7
20240424,3,AQI,39.0,35.0,34.0,33.0,32.0,22.0,46.0,18.0,38.0,30.0,38.0,36.0,23.0,50.0,45.0,32.0,27.0,29.0,18.0,21.0,30.0
20240424,3,PM2.5,27.0,24.0,22.0,17.0,17.0,13.0,32.0,12.0,26.0,15.0,26.0,22.0,16.0,32.0,31.0,15.0,17.0,14.0,10.0,9.0,20.0
20240424,3,PM10,36.0,32.0,34.0,31.0,32.0,22.0,43.0,16.0,37.0,30.0,34.0,36.0,23.0,50.0,42.0,28.0,27.0,29.0,18.0,21.0,30.0
20240424,3,SO2,5.0,7.0,5.0,6.0,4.0,9.0,6.0,6.0,4.0,5.0,7.0,5.0,6.0,5.0,4.0,2.0,5.0,6.0,9.0,5.0,6.0
20240424,3,NO2,60.0,56.0,65.0,65.0,53.0,17.0,57.0,32.0,35.0,7.0,57.0,41.0,40.0,46.0,40.0,63.0,54.0,50.0,13.0,7.0,14.0
20240424,3,O3,3.0,10.0,3.0,2.0,6.0,42.0,2.0,3.0,2.0,16.0,3.0,2.0,3.0,4.0,1.0,2.0,5.0,2.0,38.0,33.0,16.0
20240424,3,CO,1.1,0.9,0.7,0.6,0.8,0.7,0.7,0.8,0.9,0.7,0.8,0.7,0.9,1.1,0.9,0.6,0.7,0.6,0.8,0.8,0.7
20240424,4,AQI,42.0,43.0,30.0,32.0,31.0,21.0,46.0,19.0,40.0,27.0,46.0,33.0,20.0,41.0,48.0,29.0,28.0,25.0,16.0,18.0,29.0
20240424,4,PM2.5,29.0,30.0,20.0,16.0,16.0,12.0,32.0,13.0,28.0,16.0,32.0,20.0,14.0,26.0,33.0,15.0,16.0,14.0,8.0,8.0,20.0
20240424,4,PM10,37.0,33.0,30.0,31.0,31.0,21.0,42.0,17.0,39.0,27.0,41.0,33.0,20.0,41.0,44.0,29.0,28.0,25.0,15.0,18.0,29.0
