date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240626,0,AQI,16.0,13.0,13.0,18.0,14.0,17.0,13.0,15.0,14.0,11.0,12.0,11.0,13.0,18.0,12.0,17.0,20.0,17.0,13.0,13.0,10.0
20240626,0,PM2.5,6.0,8.0,7.0,7.0,3.0,10.0,9.0,3.0,3.0,3.0,6.0,3.0,3.0,6.0,3.0,6.0,6.0,6.0,3.0,3.0,3.0
20240626,0,PM10,11.0,13.0,10.0,14.0,14.0,17.0,10.0,15.0,14.0,7.0,12.0,7.0,11.0,14.0,12.0,17.0,20.0,17.0,10.0,13.0,7.0
20240626,0,SO2,4.0,4.0,3.0,3.0,6.0,5.0,4.0,6.0,2.0,4.0,3.0,7.0,4.0,5.0,6.0,4.0,5.0,6.0,3.0,5.0,5.0
20240626,0,NO2,32.0,16.0,15.0,35.0,25.0,20.0,18.0,12.0,28.0,9.0,12.0,19.0,19.0,35.0,21.0,11.0,22.0,27.0,15.0,12.0,11.0
20240626,0,O3,20.0,36.0,39.0,18.0,25.0,34.0,27.0,42.0,16.0,33.0,28.0,34.0,41.0,19.0,25.0,30.0,24.0,14.0,40.0,26.0,31.0
20240626,0,CO,0.8,0.6,0.4,0.6,0.5,0.5,0.6,0.4,0.5,0.6,0.4,0.6,0.6,0.7,0.7,0.7,0.5,0.6,0.5,0.5,0.4
20240626,1,AQI,13.0,12.0,18.0,22.0,14.0,20.0,13.0,14.0,19.0,11.0,15.0,11.0,13.0,17.0,15.0,17.0,11.0,20.0,16.0,12.0,10.0
20240626,1,PM2.5,3.0,8.0,7.0,10.0,3.0,10.0,9.0,3.0,6.0,3.0,7.0,3.0,3.0,3.0,3.0,8.0,3.0,8.0,3.0,3.0,3.0
20240626,1,PM10,10.0,11.0,10.0,20.0,9.0,20.0,9.0,14.0,15.0,11.0,15.0,9.0,13.0,12.0,15.0,17.0,7.0,20.0,12.0,12.0,10.0
20240626,1,SO2,4.0,4.0,2.0,3.0,6.0,6.0,4.0,6.0,2.0,4.0,3.0,7.0,4.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,5.0
20240626,1,NO2,25.0,17.0,36.0,44.0,11.0,40.0,15.0,13.0,38.0,13.0,22.0,21.0,24.0,34.0,26.0,23.0,21.0,31.0,32.0,13.0,11.0
20240626,1,O3,23.0,32.0,14.0,8.0,44.0,19.0,26.0,34.0,3.0,23.0,11.0,26.0,31.0,16.0,17.0,14.0,25.0,5.0,11.0,37.0,26.0
20240626,1,CO,0.8,0.6,0.5,0.7,0.5,0.5,0.6,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.5,0.6,0.5,0.5,0.4
20240626,2,AQI,17.0,15.0,22.0,26.0,13.0,20.0,16.0,15.0,19.0,14.0,18.0,11.0,16.0,16.0,18.0,18.0,12.0,17.0,16.0,10.0,11.0
20240626,2,PM2.5,6.0,10.0,8.0,12.0,3.0,11.0,11.0,3.0,7.0,3.0,8.0,3.0,7.0,3.0,3.0,10.0,3.0,8.0,3.0,3.0,3.0
20240626,2,PM10,12.0,15.0,13.0,26.0,8.0,20.0,15.0,15.0,17.0,14.0,18.0,10.0,14.0,13.0,18.0,17.0,7.0,17.0,14.0,10.0,11.0
20240626,2,SO2,4.0,4.0,3.0,4.0,6.0,5.0,4.0,6.0,2.0,4.0,3.0,7.0,4.0,5.0,6.0,4.0,5.0,6.0,3.0,5.0,5.0
20240626,2,NO2,34.0,22.0,43.0,46.0,15.0,40.0,24.0,12.0,37.0,18.0,23.0,21.0,31.0,32.0,28.0,36.0,10.0,22.0,31.0,13.0,10.0
20240626,2,O3,10.0,23.0,7.0,8.0,39.0,13.0,14.0,26.0,2.0,17.0,7.0,20.0,16.0,10.0,13.0,1.0,38.0,18.0,4.0,32.0,26.0
20240626,2,CO,0.9,0.6,0.5,0.7,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.7,0.7,0.5,0.6,0.5,0.5,0.4
20240626,3,AQI,20.0,19.0,23.0,27.0,13.0,18.0,22.0,13.0,20.0,9.0,20.0,12.0,17.0,21.0,22.0,20.0,10.0,10.0,15.0,10.0,11.0
