date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240809,0,AQI,35.0,33.0,32.0,39.0,13.0,30.0,28.0,38.0,32.0,40.0,29.0,55.0,36.0,36.0,36.0,24.0,31.0,43.0,45.0,24.0,35.0
20240809,0,PM2.5,18.0,19.0,16.0,15.0,7.0,10.0,15.0,17.0,16.0,12.0,15.0,33.0,16.0,16.0,14.0,12.0,12.0,17.0,26.0,16.0,18.0
20240809,0,PM10,35.0,33.0,32.0,39.0,13.0,30.0,28.0,38.0,32.0,40.0,29.0,60.0,36.0,36.0,36.0,24.0,31.0,43.0,45.0,24.0,35.0
20240809,0,SO2,5.0,5.0,5.0,4.0,4.0,6.0,6.0,8.0,5.0,6.0,5.0,7.0,5.0,8.0,8.0,7.0,6.0,5.0,5.0,6.0,6.0
20240809,0,NO2,21.0,28.0,38.0,40.0,25.0,33.0,26.0,39.0,27.0,44.0,15.0,30.0,45.0,39.0,53.0,18.0,30.0,28.0,42.0,10.0,31.0
20240809,0,O3,51.0,30.0,18.0,14.0,37.0,42.0,31.0,24.0,30.0,28.0,32.0,48.0,24.0,30.0,7.0,32.0,26.0,14.0,33.0,74.0,31.0
20240809,0,CO,0.5,0.7,0.7,0.6,0.5,0.6,0.8,0.6,0.5,0.7,0.6,0.8,0.6,0.8,0.5,0.5,0.8,0.8,0.6,0.7,0.5
20240809,1,AQI,27.0,28.0,42.0,37.0,15.0,27.0,21.0,53.0,26.0,31.0,29.0,53.0,38.0,32.0,39.0,28.0,28.0,42.0,44.0,25.0,33.0
20240809,1,PM2.5,15.0,17.0,18.0,13.0,7.0,11.0,12.0,29.0,14.0,14.0,15.0,31.0,18.0,15.0,16.0,13.0,12.0,16.0,22.0,16.0,16.0
20240809,1,PM10,27.0,28.0,42.0,37.0,15.0,27.0,21.0,55.0,26.0,31.0,29.0,55.0,38.0,32.0,39.0,28.0,28.0,42.0,44.0,25.0,33.0
20240809,1,SO2,5.0,4.0,5.0,4.0,6.0,6.0,5.0,7.0,5.0,6.0,5.0,7.0,5.0,7.0,8.0,7.0,6.0,4.0,5.0,6.0,6.0
20240809,1,NO2,18.0,21.0,43.0,32.0,28.0,21.0,17.0,41.0,18.0,39.0,14.0,28.0,52.0,34.0,40.0,26.0,28.0,35.0,47.0,9.0,28.0
20240809,1,O3,51.0,42.0,12.0,17.0,33.0,42.0,45.0,10.0,46.0,23.0,31.0,37.0,12.0,31.0,13.0,20.0,25.0,6.0,21.0,70.0,26.0
20240809,1,CO,0.4,0.6,0.7,0.6,0.5,0.6,0.7,0.7,0.5,0.7,0.6,0.7,0.7,0.8,0.5,0.5,0.8,0.8,0.6,0.7,0.5
20240809,2,AQI,27.0,22.0,28.0,34.0,16.0,34.0,20.0,47.0,23.0,31.0,22.0,51.0,40.0,26.0,40.0,30.0,26.0,39.0,45.0,27.0,45.0
20240809,2,PM2.5,15.0,14.0,14.0,13.0,8.0,14.0,12.0,25.0,13.0,16.0,12.0,29.0,18.0,12.0,17.0,12.0,12.0,15.0,20.0,18.0,21.0
20240809,2,PM10,27.0,22.0,28.0,34.0,16.0,34.0,20.0,47.0,23.0,31.0,22.0,52.0,40.0,26.0,40.0,30.0,26.0,39.0,45.0,27.0,45.0
20240809,2,SO2,5.0,4.0,4.0,4.0,6.0,6.0,5.0,8.0,5.0,5.0,4.0,7.0,5.0,6.0,8.0,7.0,6.0,4.0,5.0,6.0,6.0
20240809,2,NO2,20.0,14.0,31.0,33.0,28.0,24.0,17.0,40.0,17.0,37.0,6.0,37.0,46.0,23.0,39.0,24.0,28.0,31.0,48.0,10.0,40.0
20240809,2,O3,43.0,50.0,26.0,13.0,29.0,36.0,41.0,8.0,46.0,19.0,46.0,18.0,12.0,46.0,11.0,23.0,22.0,7.0,10.0,67.0,10.0
20240809,2,CO,0.4,0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.5,0.7,0.5,0.7,0.6,0.7,0.5,0.5,0.7,0.8,0.6,0.7,0.5
20240809,3,AQI,25.0,22.0,22.0,32.0,14.0,37.0,20.0,42.0,21.0,31.0,20.0,41.0,40.0,24.0,34.0,31.0,22.0,34.0,47.0,29.0,44.0
20240809,3,PM2.5,14.0,13.0,11.0,12.0,7.0,17.0,10.0,22.0,12.0,16.0,10.0,23.0,19.0,10.0,15.0,11.0,10.0,14.0,20.0,20.0,20.0
20240809,3,PM10,25.0,22.0,22.0,32.0,14.0,37.0,20.0,42.0,21.0,31.0,20.0,41.0,40.0,24.0,34.0,31.0,22.0,34.0,47.0,29.0,44.0
20240809,3,SO2,5.0,4.0,4.0,4.0,5.0,7.0,4.0,8.0,4.0,5.0,4.0,7.0,5.0,6.0,8.0,7.0,6.0,4.0,5.0,6.0,6.0
20240809,3,NO2,19.0,14.0,24.0,34.0,19.0,26.0,16.0,39.0,15.0,35.0,4.0,33.0,40.0,24.0,33.0,18.0,22.0,29.0,44.0,10.0,42.0
20240809,3,O3,40.0,43.0,32.0,11.0,36.0,32.0,37.0,6.0,42.0,18.0,45.0,14.0,17.0,38.0,17.0,31.0,28.0,6.0,7.0,58.0,4.0
20240809,3,CO,0.4,0.6,0.5,0.5,0.4,0.6,0.7,0.7,0.5,0.7,0.5,0.7,0.6,0.7,0.5,0.5,0.7,0.7,0.6,0.8,0.6
20240809,4,AQI,25.0,22.0,19.0,22.0,15.0,30.0,20.0,39.0,21.0,20.0,18.0,31.0,27.0,21.0,23.0,30.0,16.0,29.0,46.0,31.0,26.0
20240809,4,PM2.5,14.0,13.0,10.0,10.0,3.0,14.0,10.0,20.0,12.0,14.0,10.0,17.0,14.0,9.0,10.0,8.0,9.0,11.0,20.0,21.0,13.0
20240809,4,PM10,25.0,22.0,19.0,22.0,11.0,30.0,20.0,39.0,21.0,20.0,18.0,31.0,27.0,21.0,23.0,30.0,16.0,29.0,46.0,31.0,26.0
20240809,4,SO2,6.0,4.0,4.0,4.0,4.0,7.0,5.0,8.0,5.0,5.0,4.0,7.0,5.0,6.0,8.0,7.0,6.0,4.0,4.0,6.0,6.0
20240809,4,NO2,20.0,14.0,21.0,20.0,10.0,17.0,16.0,37.0,15.0,30.0,3.0,36.0,23.0,25.0,18.0,9.0,20.0,20.0,38.0,18.0,24.0
20240809,4,O3,33.0,38.0,30.0,30.0,46.0,41.0,31.0,2.0,34.0,22.0,40.0,5.0,35.0,32.0,39.0,41.0,27.0,14.0,3.0,29.0,15.0
20240809,4,CO,0.4,0.6,0.5,0.5,0.4,0.5,0.7,0.7,0.4,0.6,0.5,0.7,0.5,0.7,0.4,0.4,0.7,0.6,0.6,0.8,0.5
20240809,5,AQI,24.0,20.0,18.0,20.0,13.0,29.0,19.0,36.0,20.0,17.0,17.0,28.0,25.0,20.0,22.0,31.0,20.0,21.0,45.0,32.0,27.0
20240809,5,PM2.5,13.0,12.0,10.0,8.0,3.0,14.0,10.0,18.0,11.0,10.0,9.0,15.0,13.0,8.0,10.0,7.0,9.0,10.0,20.0,22.0,13.0
20240809,5,PM10,24.0,20.0,18.0,20.0,11.0,29.0,19.0,36.0,20.0,17.0,17.0,28.0,25.0,20.0,22.0,31.0,20.0,21.0,45.0,32.0,27.0
20240809,5,SO2,6.0,4.0,4.0,3.0,4.0,7.0,5.0,8.0,5.0,5.0,4.0,7.0,5.0,7.0,8.0,7.0,6.0,4.0,5.0,6.0,6.0
20240809,5,NO2,19.0,13.0,26.0,21.0,11.0,17.0,15.0,38.0,15.0,20.0,4.0,35.0,26.0,23.0,20.0,8.0,22.0,20.0,37.0,16.0,25.0
20240809,5,O3,32.0,38.0,22.0,27.0,40.0,43.0,32.0,2.0,32.0,33.0,38.0,3.0,27.0,29.0,32.0,36.0,22.0,10.0,7.0,29.0,12.0
20240809,5,CO,0.4,0.6,0.6,0.4,0.4,0.5,0.7,0.7,0.4,0.6,0.5,0.7,0.5,0.6,0.5,0.4,0.7,0.6,0.6,0.8,0.5
20240809,6,AQI,23.0,18.0,20.0,19.0,12.0,27.0,16.0,35.0,18.0,14.0,17.0,28.0,28.0,18.0,22.0,30.0,22.0,17.0,33.0,32.0,27.0
20240809,6,PM2.5,12.0,11.0,10.0,8.0,3.0,13.0,9.0,18.0,10.0,9.0,9.0,13.0,13.0,7.0,10.0,7.0,10.0,10.0,17.0,22.0,13.0
20240809,6,PM10,23.0,18.0,20.0,19.0,11.0,27.0,16.0,35.0,18.0,14.0,17.0,28.0,28.0,18.0,22.0,30.0,22.0,17.0,33.0,32.0,27.0
20240809,6,SO2,6.0,4.0,4.0,3.0,4.0,8.0,5.0,8.0,5.0,4.0,4.0,8.0,5.0,7.0,8.0,7.0,6.0,3.0,6.0,5.0,6.0
20240809,6,NO2,20.0,14.0,33.0,21.0,12.0,19.0,17.0,33.0,13.0,18.0,4.0,36.0,32.0,24.0,25.0,9.0,31.0,21.0,31.0,18.0,25.0
20240809,6,O3,31.0,35.0,13.0,25.0,38.0,37.0,30.0,1.0,33.0,32.0,37.0,6.0,17.0,26.0,25.0,34.0,12.0,7.0,19.0,18.0,8.0
20240809,6,CO,0.4,0.6,0.6,0.4,0.4,0.5,0.7,0.7,0.4,0.6,0.5,0.6,0.5,0.6,0.5,0.4,0.7,0.6,0.5,0.8,0.5
20240809,7,AQI,23.0,20.0,20.0,19.0,12.0,25.0,17.0,27.0,25.0,14.0,,31.0,28.0,18.0,23.0,27.0,28.0,20.0,36.0,32.0,30.0
20240809,7,PM2.5,12.0,11.0,10.0,8.0,3.0,12.0,10.0,14.0,11.0,9.0,,16.0,13.0,7.0,11.0,7.0,11.0,11.0,18.0,21.0,14.0
20240809,7,PM10,23.0,20.0,20.0,19.0,12.0,25.0,17.0,27.0,25.0,14.0,,31.0,28.0,18.0,23.0,27.0,28.0,20.0,36.0,32.0,30.0
20240809,7,SO2,5.0,4.0,4.0,3.0,4.0,7.0,5.0,8.0,4.0,4.0,4.0,8.0,5.0,7.0,8.0,7.0,6.0,3.0,6.0,6.0,6.0
20240809,7,NO2,21.0,17.0,33.0,14.0,14.0,19.0,20.0,33.0,15.0,20.0,6.0,34.0,32.0,25.0,28.0,10.0,31.0,19.0,35.0,16.0,26.0
20240809,7,O3,28.0,31.0,13.0,34.0,36.0,35.0,26.0,4.0,27.0,30.0,33.0,7.0,14.0,27.0,22.0,33.0,9.0,9.0,11.0,16.0,4.0
20240809,7,CO,0.4,0.6,0.6,0.4,0.4,0.5,0.7,0.6,0.5,0.6,0.5,0.7,0.6,0.7,0.5,0.4,0.7,0.6,0.6,0.8,0.5
20240809,8,AQI,37.0,22.0,20.0,20.0,13.0,28.0,20.0,24.0,22.0,19.0,20.0,24.0,32.0,20.0,25.0,23.0,22.0,18.0,36.0,32.0,30.0
20240809,8,PM2.5,16.0,11.0,10.0,8.0,3.0,14.0,10.0,12.0,12.0,9.0,10.0,14.0,13.0,7.0,11.0,8.0,12.0,12.0,19.0,22.0,17.0
20240809,8,PM10,37.0,22.0,20.0,20.0,13.0,28.0,20.0,24.0,22.0,19.0,20.0,24.0,32.0,20.0,25.0,23.0,22.0,18.0,36.0,30.0,30.0
20240809,8,SO2,6.0,4.0,4.0,3.0,4.0,8.0,5.0,7.0,5.0,4.0,4.0,8.0,5.0,7.0,8.0,7.0,6.0,4.0,8.0,5.0,6.0
20240809,8,NO2,21.0,17.0,18.0,10.0,12.0,19.0,18.0,24.0,16.0,18.0,5.0,25.0,29.0,23.0,23.0,9.0,19.0,16.0,27.0,12.0,23.0
20240809,8,O3,31.0,32.0,31.0,39.0,41.0,37.0,29.0,18.0,33.0,34.0,35.0,20.0,22.0,31.0,28.0,34.0,26.0,16.0,23.0,21.0,16.0
20240809,8,CO,0.5,0.6,0.6,0.5,0.4,0.6,0.7,0.5,0.5,0.6,0.5,0.6,0.6,0.7,0.5,0.4,0.7,0.6,0.6,0.8,0.6
20240809,9,AQI,34.0,28.0,23.0,24.0,18.0,36.0,25.0,23.0,28.0,15.0,,18.0,30.0,24.0,26.0,22.0,26.0,19.0,33.0,32.0,30.0
20240809,9,PM2.5,16.0,14.0,12.0,11.0,7.0,19.0,12.0,11.0,13.0,10.0,15.0,12.0,12.0,11.0,13.0,10.0,13.0,13.0,20.0,22.0,17.0
20240809,9,PM10,34.0,28.0,23.0,24.0,18.0,36.0,25.0,23.0,28.0,14.0,25.0,18.0,30.0,24.0,26.0,22.0,26.0,19.0,33.0,30.0,30.0
20240809,9,SO2,6.0,4.0,4.0,3.0,4.0,8.0,6.0,7.0,6.0,4.0,4.0,8.0,5.0,7.0,8.0,7.0,6.0,4.0,8.0,6.0,6.0
20240809,9,NO2,17.0,14.0,15.0,9.0,12.0,18.0,17.0,17.0,15.0,19.0,4.0,17.0,24.0,19.0,16.0,9.0,17.0,12.0,20.0,12.0,24.0
20240809,9,O3,45.0,48.0,42.0,50.0,56.0,50.0,41.0,37.0,46.0,37.0,,42.0,37.0,45.0,46.0,45.0,42.0,36.0,43.0,32.0,28.0
20240809,9,CO,0.6,0.6,0.6,0.4,0.5,0.6,0.8,0.5,0.5,0.6,0.5,0.5,0.6,0.7,0.5,0.4,0.7,0.6,0.6,0.8,0.5
20240809,10,AQI,35.0,33.0,33.0,28.0,25.0,48.0,32.0,32.0,33.0,23.0,,22.0,41.0,27.0,32.0,25.0,,24.0,37.0,,33.0
20240809,10,PM2.5,20.0,21.0,19.0,15.0,11.0,29.0,16.0,15.0,16.0,13.0,22.0,14.0,17.0,12.0,17.0,15.0,14.0,16.0,24.0,23.0,18.0
20240809,10,PM10,35.0,33.0,33.0,28.0,25.0,48.0,32.0,32.0,33.0,23.0,32.0,22.0,41.0,27.0,32.0,25.0,33.0,24.0,37.0,31.0,33.0
20240809,10,SO2,6.0,5.0,4.0,4.0,4.0,9.0,6.0,7.0,5.0,4.0,5.0,7.0,5.0,7.0,8.0,7.0,7.0,5.0,8.0,6.0,6.0
20240809,10,NO2,19.0,15.0,13.0,12.0,12.0,18.0,20.0,18.0,16.0,16.0,5.0,16.0,20.0,21.0,19.0,10.0,17.0,13.0,15.0,11.0,22.0
20240809,10,O3,64.0,70.0,72.0,74.0,80.0,73.0,58.0,56.0,66.0,67.0,,63.0,74.0,63.0,65.0,65.0,,66.0,75.0,,50.0
20240809,10,CO,0.6,0.7,0.6,0.4,0.5,0.6,0.8,0.5,0.5,0.6,0.5,0.5,0.6,0.8,0.5,0.5,0.7,0.6,0.6,0.8,0.5
20240809,11,AQI,44.0,39.0,39.0,35.0,36.0,55.0,39.0,38.0,38.0,33.0,,30.0,52.0,34.0,38.0,33.0,,35.0,43.0,,39.0
20240809,11,PM2.5,26.0,26.0,24.0,20.0,12.0,39.0,20.0,18.0,19.0,13.0,30.0,20.0,22.0,16.0,21.0,21.0,15.0,18.0,27.0,22.0,22.0
20240809,11,PM10,44.0,39.0,39.0,35.0,32.0,56.0,39.0,38.0,38.0,28.0,39.0,27.0,53.0,34.0,38.0,33.0,43.0,22.0,43.0,30.0,39.0
20240809,11,SO2,6.0,5.0,4.0,4.0,4.0,11.0,6.0,8.0,5.0,4.0,4.0,7.0,5.0,7.0,8.0,7.0,,5.0,6.0,,6.0
20240809,11,NO2,17.0,14.0,12.0,13.0,11.0,15.0,19.0,17.0,15.0,13.0,,17.0,17.0,21.0,16.0,10.0,15.0,12.0,15.0,9.0,21.0
20240809,11,O3,103.0,106.0,108.0,111.0,114.0,104.0,92.0,88.0,101.0,103.0,103.0,94.0,122.0,98.0,103.0,102.0,104.0,109.0,111.0,91.0,79.0
