date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20241123,0,AQI,33.0,26.0,23.0,35.0,27.0,27.0,22.0,19.0,25.0,18.0,26.0,26.0,23.0,28.0,23.0,28.0,29.0,29.0,25.0,26.0,22.0
20241123,0,PM2.5,19.0,18.0,16.0,19.0,16.0,18.0,15.0,13.0,17.0,12.0,18.0,18.0,16.0,17.0,16.0,16.0,19.0,20.0,17.0,18.0,15.0
20241123,0,PM10,33.0,24.0,23.0,35.0,27.0,27.0,21.0,18.0,24.0,15.0,25.0,24.0,21.0,28.0,22.0,28.0,29.0,28.0,21.0,22.0,21.0
20241123,0,SO2,6.0,4.0,3.0,5.0,6.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,6.0,6.0,6.0,8.0,6.0,5.0,6.0,5.0,7.0
20241123,0,NO2,30.0,14.0,12.0,15.0,17.0,12.0,12.0,7.0,30.0,15.0,11.0,8.0,10.0,20.0,10.0,13.0,19.0,17.0,9.0,6.0,9.0
20241123,0,O3,30.0,40.0,46.0,41.0,47.0,55.0,37.0,55.0,24.0,40.0,36.0,51.0,55.0,43.0,49.0,49.0,48.0,46.0,50.0,52.0,48.0
20241123,0,CO,0.5,0.7,0.4,0.6,0.6,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.4,0.5,0.5,0.6,0.6,0.7
20241123,1,AQI,34.0,26.0,22.0,33.0,27.0,26.0,22.0,20.0,26.0,22.0,25.0,28.0,25.0,30.0,23.0,27.0,29.0,23.0,26.0,26.0,22.0
20241123,1,PM2.5,19.0,18.0,14.0,18.0,17.0,18.0,15.0,14.0,18.0,15.0,17.0,19.0,17.0,19.0,16.0,15.0,20.0,16.0,18.0,18.0,15.0
20241123,1,PM10,34.0,24.0,22.0,33.0,27.0,26.0,22.0,18.0,25.0,17.0,24.0,25.0,22.0,30.0,21.0,27.0,24.0,21.0,21.0,22.0,21.0
20241123,1,SO2,6.0,4.0,3.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,6.0,6.0,6.0,8.0,10.0,5.0,6.0,5.0,7.0
20241123,1,NO2,28.0,15.0,12.0,11.0,16.0,10.0,11.0,8.0,23.0,13.0,11.0,9.0,11.0,20.0,12.0,12.0,29.0,16.0,8.0,7.0,9.0
20241123,1,O3,31.0,38.0,47.0,46.0,48.0,58.0,36.0,50.0,31.0,44.0,34.0,49.0,52.0,41.0,46.0,51.0,33.0,46.0,53.0,49.0,48.0
20241123,1,CO,0.5,0.7,0.4,0.6,0.6,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.7,0.4,0.6,0.5,0.6,0.6,0.7
