date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240905,0,AQI,46.0,40.0,37.0,41.0,43.0,34.0,31.0,36.0,38.0,32.0,34.0,37.0,38.0,39.0,39.0,,37.0,36.0,30.0,28.0,28.0
20240905,0,PM2.5,25.0,28.0,23.0,24.0,27.0,18.0,21.0,19.0,19.0,22.0,20.0,21.0,26.0,21.0,21.0,,18.0,20.0,18.0,19.0,14.0
20240905,0,PM10,46.0,38.0,37.0,41.0,43.0,34.0,31.0,36.0,38.0,,34.0,37.0,27.0,39.0,39.0,,37.0,36.0,30.0,25.0,28.0
20240905,0,SO2,6.0,4.0,4.0,4.0,5.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,4.0,,5.0,6.0,4.0,6.0,5.0
20240905,0,NO2,80.0,43.0,48.0,56.0,47.0,44.0,57.0,37.0,58.0,4.0,39.0,35.0,16.0,45.0,35.0,51.0,39.0,32.0,31.0,8.0,27.0
20240905,0,O3,5.0,34.0,31.0,22.0,39.0,23.0,19.0,16.0,5.0,56.0,22.0,7.0,44.0,28.0,19.0,19.0,50.0,53.0,7.0,30.0,32.0
20240905,0,CO,1.0,0.9,0.8,0.8,0.9,0.9,0.8,0.7,0.7,0.5,0.8,0.8,0.8,0.9,0.7,0.7,0.9,0.7,0.7,0.8,0.7
20240905,1,AQI,52.0,39.0,38.0,39.0,37.0,36.0,36.0,36.0,37.0,28.0,34.0,41.0,35.0,42.0,36.0,39.0,42.0,40.0,30.0,26.0,28.0
20240905,1,PM2.5,28.0,27.0,23.0,23.0,22.0,20.0,23.0,19.0,19.0,19.0,21.0,22.0,24.0,24.0,20.0,27.0,17.0,20.0,18.0,18.0,14.0
20240905,1,PM10,54.0,38.0,38.0,39.0,37.0,36.0,36.0,36.0,37.0,19.0,34.0,41.0,26.0,42.0,36.0,38.0,42.0,40.0,30.0,26.0,28.0
20240905,1,SO2,5.0,4.0,4.0,4.0,5.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0
20240905,1,NO2,79.0,40.0,55.0,49.0,41.0,52.0,56.0,34.0,55.0,5.0,41.0,35.0,22.0,52.0,36.0,52.0,32.0,25.0,25.0,10.0,29.0
20240905,1,O3,4.0,36.0,22.0,25.0,42.0,14.0,15.0,11.0,4.0,53.0,16.0,4.0,33.0,19.0,15.0,15.0,54.0,48.0,4.0,25.0,24.0
20240905,1,CO,1.1,0.8,0.7,0.8,0.8,1.0,0.9,0.8,0.7,0.5,0.8,0.8,0.8,0.9,0.7,0.7,0.8,0.7,0.7,0.8,0.7
20240905,2,AQI,51.0,38.0,34.0,42.0,31.0,34.0,36.0,40.0,37.0,28.0,32.0,40.0,36.0,39.0,33.0,36.0,38.0,38.0,34.0,26.0,28.0
20240905,2,PM2.5,27.0,26.0,22.0,24.0,20.0,22.0,22.0,19.0,18.0,19.0,20.0,22.0,25.0,24.0,19.0,24.0,20.0,20.0,19.0,18.0,14.0
20240905,2,PM10,52.0,36.0,34.0,42.0,31.0,34.0,36.0,40.0,37.0,23.0,32.0,40.0,29.0,39.0,33.0,36.0,38.0,38.0,34.0,26.0,28.0
20240905,2,SO2,6.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,6.0,4.0,6.0,4.0
20240905,2,NO2,75.0,40.0,40.0,64.0,28.0,51.0,48.0,32.0,51.0,7.0,34.0,33.0,26.0,44.0,30.0,64.0,41.0,28.0,31.0,9.0,28.0
20240905,2,O3,4.0,32.0,31.0,9.0,58.0,20.0,19.0,10.0,5.0,53.0,21.0,2.0,24.0,24.0,17.0,6.0,34.0,38.0,2.0,27.0,15.0
20240905,2,CO,1.1,0.8,0.7,0.8,0.8,1.0,0.8,0.8,0.7,0.5,0.8,0.7,0.8,0.9,0.7,0.7,0.8,0.7,0.7,0.8,0.7
20240905,3,AQI,45.0,36.0,45.0,48.0,30.0,38.0,30.0,40.0,41.0,26.0,31.0,40.0,35.0,39.0,32.0,36.0,38.0,34.0,36.0,26.0,28.0
20240905,3,PM2.5,23.0,25.0,28.0,25.0,18.0,23.0,20.0,20.0,18.0,18.0,18.0,21.0,24.0,25.0,19.0,21.0,20.0,21.0,20.0,17.0,15.0
20240905,3,PM10,45.0,34.0,45.0,48.0,30.0,38.0,30.0,40.0,41.0,,31.0,40.0,31.0,39.0,32.0,36.0,38.0,34.0,36.0,26.0,28.0
20240905,3,SO2,5.0,4.0,5.0,4.0,5.0,4.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,3.0,6.0,5.0,5.0,4.0,6.0,4.0
20240905,3,NO2,61.0,35.0,69.0,70.0,25.0,59.0,30.0,30.0,46.0,7.0,28.0,33.0,33.0,41.0,39.0,46.0,36.0,28.0,26.0,10.0,21.0
20240905,3,O3,11.0,31.0,6.0,6.0,56.0,8.0,35.0,9.0,10.0,47.0,28.0,1.0,10.0,22.0,14.0,23.0,33.0,34.0,2.0,22.0,17.0
20240905,3,CO,1.0,0.8,0.8,0.8,0.8,1.0,0.8,0.8,0.7,0.5,0.7,0.8,0.8,0.9,0.7,0.7,0.8,0.7,0.7,0.8,0.7
20240905,4,AQI,38.0,35.0,44.0,42.0,31.0,40.0,29.0,38.0,44.0,28.0,32.0,40.0,36.0,35.0,33.0,39.0,37.0,32.0,36.0,26.0,27.0
