date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240610,0,AQI,20.0,19.0,31.0,50.0,19.0,40.0,19.0,20.0,14.0,28.0,17.0,22.0,40.0,26.0,46.0,21.0,18.0,18.0,44.0,23.0,20.0
20240610,0,PM2.5,11.0,13.0,20.0,30.0,10.0,26.0,10.0,13.0,8.0,15.0,9.0,14.0,26.0,11.0,32.0,9.0,7.0,7.0,26.0,9.0,12.0
20240610,0,PM10,18.0,15.0,31.0,50.0,19.0,40.0,19.0,20.0,14.0,28.0,17.0,22.0,40.0,19.0,43.0,21.0,15.0,18.0,44.0,23.0,20.0
20240610,0,SO2,4.0,4.0,4.0,7.0,5.0,6.0,5.0,6.0,3.0,1.0,3.0,7.0,4.0,6.0,5.0,2.0,6.0,7.0,4.0,4.0,5.0
20240610,0,NO2,39.0,34.0,43.0,51.0,30.0,49.0,33.0,18.0,25.0,27.0,29.0,25.0,28.0,51.0,36.0,41.0,36.0,36.0,24.0,4.0,20.0
20240610,0,O3,13.0,13.0,9.0,7.0,20.0,3.0,13.0,19.0,20.0,16.0,11.0,2.0,11.0,5.0,6.0,8.0,10.0,2.0,24.0,10.0,13.0
20240610,0,CO,0.8,0.6,0.7,1.1,0.6,0.9,0.6,0.6,0.2,0.7,0.6,0.9,0.8,0.8,0.9,0.5,0.6,0.6,0.7,0.6,0.5
20240610,1,AQI,18.0,22.0,43.0,44.0,20.0,37.0,18.0,18.0,14.0,20.0,29.0,23.0,32.0,29.0,38.0,24.0,30.0,30.0,37.0,21.0,19.0
20240610,1,PM2.5,12.0,15.0,27.0,26.0,9.0,24.0,10.0,12.0,8.0,13.0,17.0,15.0,20.0,16.0,26.0,12.0,9.0,11.0,21.0,8.0,10.0
20240610,1,PM10,18.0,18.0,43.0,44.0,19.0,37.0,18.0,18.0,14.0,20.0,29.0,23.0,32.0,29.0,36.0,22.0,30.0,30.0,37.0,21.0,19.0
20240610,1,SO2,4.0,4.0,6.0,7.0,6.0,7.0,5.0,6.0,3.0,1.0,5.0,7.0,4.0,6.0,5.0,2.0,7.0,8.0,4.0,4.0,5.0
20240610,1,NO2,36.0,35.0,48.0,43.0,39.0,46.0,36.0,16.0,27.0,27.0,39.0,21.0,30.0,55.0,34.0,48.0,42.0,39.0,24.0,5.0,18.0
20240610,1,O3,13.0,10.0,15.0,6.0,6.0,2.0,9.0,17.0,14.0,16.0,3.0,4.0,9.0,3.0,4.0,2.0,4.0,2.0,18.0,10.0,12.0
20240610,1,CO,0.8,0.6,0.8,1.1,0.6,0.8,0.5,0.5,0.2,0.6,0.7,0.9,0.7,0.9,0.9,0.6,0.7,0.6,0.7,0.6,0.5
20240610,2,AQI,23.0,30.0,51.0,40.0,24.0,28.0,32.0,19.0,33.0,25.0,46.0,19.0,28.0,38.0,29.0,30.0,30.0,34.0,29.0,22.0,18.0
20240610,2,PM2.5,14.0,21.0,31.0,21.0,8.0,17.0,18.0,13.0,20.0,14.0,32.0,13.0,17.0,21.0,20.0,19.0,14.0,13.0,15.0,8.0,9.0
20240610,2,PM10,23.0,23.0,52.0,40.0,24.0,28.0,32.0,19.0,33.0,25.0,44.0,19.0,28.0,38.0,29.0,30.0,30.0,34.0,29.0,22.0,18.0
20240610,2,SO2,5.0,4.0,7.0,8.0,6.0,7.0,6.0,6.0,4.0,1.0,8.0,7.0,4.0,6.0,6.0,2.0,6.0,7.0,4.0,4.0,6.0
20240610,2,NO2,45.0,43.0,45.0,38.0,45.0,41.0,47.0,16.0,44.0,26.0,37.0,12.0,30.0,50.0,34.0,47.0,42.0,39.0,21.0,5.0,14.0
20240610,2,O3,5.0,4.0,14.0,6.0,1.0,2.0,3.0,18.0,2.0,14.0,2.0,21.0,7.0,3.0,4.0,2.0,4.0,2.0,19.0,8.0,21.0
20240610,2,CO,0.8,0.7,0.9,1.0,0.6,0.7,0.7,0.5,0.3,0.6,0.8,0.7,0.7,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.5
20240610,3,AQI,35.0,43.0,42.0,38.0,34.0,26.0,41.0,22.0,40.0,20.0,43.0,19.0,30.0,37.0,29.0,36.0,28.0,28.0,26.0,22.0,22.0
20240610,3,PM2.5,23.0,30.0,22.0,20.0,12.0,16.0,24.0,15.0,26.0,12.0,30.0,12.0,18.0,21.0,20.0,17.0,14.0,12.0,13.0,8.0,11.0
20240610,3,PM10,35.0,31.0,42.0,38.0,34.0,26.0,41.0,22.0,40.0,20.0,42.0,19.0,30.0,37.0,29.0,36.0,28.0,28.0,26.0,22.0,22.0
20240610,3,SO2,6.0,5.0,6.0,8.0,6.0,6.0,7.0,6.0,5.0,1.0,8.0,7.0,4.0,6.0,6.0,2.0,6.0,7.0,4.0,4.0,8.0
20240610,3,NO2,48.0,43.0,39.0,36.0,47.0,33.0,44.0,20.0,40.0,25.0,32.0,10.0,30.0,44.0,35.0,41.0,37.0,37.0,20.0,6.0,17.0
20240610,3,O3,4.0,4.0,,5.0,,2.0,3.0,13.0,2.0,14.0,2.0,23.0,5.0,3.0,2.0,2.0,6.0,2.0,17.0,7.0,19.0
20240610,3,CO,0.9,0.8,1.0,1.0,0.7,0.7,0.8,0.5,0.5,0.6,0.9,0.7,0.7,1.0,0.8,0.8,0.7,0.6,0.6,0.6,0.5
20240610,4,AQI,34.0,40.0,36.0,40.0,34.0,25.0,37.0,21.0,35.0,23.0,38.0,18.0,26.0,33.0,28.0,37.0,24.0,25.0,25.0,22.0,22.0
20240610,4,PM2.5,23.0,28.0,19.0,20.0,12.0,16.0,21.0,13.0,23.0,11.0,26.0,10.0,16.0,17.0,19.0,17.0,12.0,12.0,12.0,8.0,9.0
20240610,4,PM10,34.0,34.0,36.0,40.0,34.0,25.0,37.0,21.0,35.0,23.0,38.0,18.0,26.0,33.0,28.0,37.0,24.0,25.0,25.0,22.0,22.0
20240610,4,SO2,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0,2.0,7.0,6.0,4.0,7.0,6.0,2.0,6.0,7.0,4.0,4.0,6.0
20240610,4,NO2,43.0,38.0,36.0,35.0,44.0,29.0,40.0,18.0,36.0,25.0,30.0,13.0,28.0,42.0,32.0,38.0,35.0,34.0,19.0,10.0,15.0
20240610,4,O3,3.0,4.0,6.0,5.0,,2.0,2.0,14.0,2.0,13.0,2.0,13.0,5.0,3.0,2.0,2.0,5.0,2.0,16.0,5.0,19.0
20240610,4,CO,1.0,0.8,0.9,1.0,0.7,0.7,0.8,0.5,0.4,0.6,0.8,0.8,0.7,0.9,0.8,0.7,0.7,0.6,0.6,0.6,0.4
20240610,5,AQI,31.0,32.0,34.0,41.0,33.0,24.0,32.0,22.0,29.0,22.0,34.0,18.0,23.0,27.0,27.0,36.0,21.0,25.0,23.0,24.0,22.0
20240610,5,PM2.5,19.0,22.0,18.0,21.0,14.0,16.0,18.0,13.0,18.0,10.0,21.0,10.0,14.0,14.0,18.0,15.0,12.0,10.0,11.0,8.0,8.0
20240610,5,PM10,31.0,31.0,34.0,41.0,33.0,24.0,32.0,22.0,29.0,22.0,34.0,18.0,23.0,27.0,27.0,36.0,21.0,25.0,23.0,24.0,22.0
20240610,5,SO2,5.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,2.0,6.0,7.0,4.0,7.0,7.0,2.0,6.0,6.0,4.0,4.0,6.0
20240610,5,NO2,40.0,36.0,33.0,33.0,41.0,28.0,36.0,19.0,34.0,24.0,27.0,13.0,27.0,39.0,31.0,36.0,35.0,32.0,19.0,9.0,13.0
20240610,5,O3,3.0,4.0,6.0,6.0,,2.0,2.0,11.0,2.0,12.0,2.0,11.0,5.0,4.0,2.0,2.0,4.0,2.0,16.0,5.0,19.0
20240610,5,CO,0.9,0.8,0.9,1.1,0.7,0.6,0.7,0.5,0.4,0.6,0.7,0.8,0.7,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.4
