date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20241126,0,AQI,37.0,39.0,23.0,15.0,16.0,23.0,30.0,35.0,36.0,28.0,26.0,33.0,30.0,35.0,26.0,27.0,23.0,20.0,16.0,19.0,14.0
20241126,0,PM2.5,22.0,27.0,16.0,8.0,11.0,16.0,21.0,24.0,25.0,19.0,18.0,23.0,21.0,24.0,18.0,8.0,10.0,11.0,11.0,13.0,3.0
20241126,0,PM10,37.0,30.0,18.0,15.0,12.0,21.0,30.0,29.0,32.0,,26.0,30.0,26.0,34.0,24.0,27.0,18.0,20.0,13.0,16.0,6.0
20241126,0,SO2,6.0,5.0,3.0,5.0,6.0,5.0,5.0,6.0,4.0,3.0,3.0,7.0,6.0,6.0,7.0,4.0,7.0,9.0,6.0,6.0,6.0
20241126,0,NO2,35.0,26.0,31.0,26.0,29.0,18.0,26.0,23.0,32.0,17.0,19.0,18.0,20.0,26.0,16.0,32.0,46.0,37.0,13.0,10.0,5.0
20241126,0,O3,13.0,16.0,21.0,24.0,31.0,25.0,12.0,23.0,12.0,30.0,20.0,22.0,23.0,20.0,34.0,19.0,17.0,22.0,25.0,34.0,44.0
20241126,0,CO,0.8,0.9,0.5,0.7,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.8,1.0,0.8,0.9,0.6,0.6,0.9,0.9,0.6
20241126,1,AQI,22.0,32.0,45.0,38.0,36.0,13.0,20.0,33.0,23.0,19.0,29.0,16.0,15.0,16.0,35.0,38.0,19.0,15.0,9.0,12.0,14.0
20241126,1,PM2.5,12.0,22.0,31.0,22.0,25.0,9.0,14.0,23.0,16.0,13.0,20.0,11.0,10.0,11.0,24.0,26.0,12.0,10.0,6.0,8.0,9.0
20241126,1,PM10,22.0,27.0,33.0,38.0,30.0,13.0,20.0,30.0,21.0,18.0,29.0,16.0,13.0,16.0,31.0,38.0,19.0,11.0,8.0,10.0,14.0
20241126,1,SO2,6.0,5.0,3.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,3.0,7.0,6.0,7.0,7.0,4.0,6.0,5.0,7.0,6.0,6.0
20241126,1,NO2,22.0,19.0,24.0,23.0,26.0,18.0,15.0,19.0,22.0,15.0,15.0,16.0,18.0,25.0,17.0,28.0,38.0,29.0,12.0,10.0,6.0
20241126,1,O3,20.0,19.0,16.0,18.0,25.0,26.0,17.0,20.0,16.0,27.0,14.0,25.0,24.0,18.0,25.0,15.0,20.0,25.0,27.0,36.0,34.0
20241126,1,CO,0.8,1.0,0.7,0.9,0.7,0.6,0.7,0.8,0.7,0.9,0.9,0.9,0.8,0.9,0.9,1.0,0.7,0.6,0.9,0.8,0.7
20241126,2,AQI,15.0,18.0,26.0,19.0,33.0,10.0,12.0,19.0,13.0,9.0,19.0,10.0,9.0,13.0,15.0,32.0,40.0,33.0,10.0,12.0,24.0
20241126,2,PM2.5,7.0,12.0,18.0,12.0,23.0,6.0,8.0,13.0,9.0,6.0,11.0,3.0,6.0,7.0,10.0,16.0,28.0,23.0,3.0,7.0,15.0
20241126,2,PM10,15.0,16.0,18.0,19.0,29.0,9.0,12.0,19.0,13.0,8.0,19.0,8.0,8.0,11.0,13.0,32.0,,,6.0,9.0,24.0
20241126,2,SO2,7.0,5.0,3.0,5.0,6.0,6.0,5.0,6.0,4.0,4.0,3.0,7.0,6.0,6.0,7.0,4.0,6.0,6.0,7.0,6.0,6.0
20241126,2,NO2,21.0,18.0,23.0,14.0,25.0,17.0,15.0,18.0,25.0,15.0,18.0,13.0,17.0,25.0,15.0,23.0,28.0,26.0,11.0,10.0,9.0
20241126,2,O3,22.0,19.0,16.0,26.0,19.0,32.0,18.0,21.0,14.0,27.0,11.0,31.0,26.0,18.0,27.0,17.0,19.0,18.0,32.0,37.0,28.0
20241126,2,CO,0.8,1.0,0.7,0.9,0.8,0.5,0.7,0.8,0.7,0.8,0.9,0.9,0.8,0.9,0.9,1.1,0.8,0.9,0.9,0.8,0.9
20241126,3,AQI,12.0,11.0,15.0,10.0,16.0,11.0,10.0,12.0,12.0,10.0,13.0,11.0,13.0,12.0,10.0,24.0,27.0,30.0,11.0,11.0,18.0
20241126,3,PM2.5,3.0,7.0,10.0,6.0,11.0,3.0,3.0,7.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,7.0,13.0,14.0,3.0,3.0,11.0
20241126,3,PM10,12.0,11.0,10.0,10.0,16.0,6.0,10.0,12.0,10.0,7.0,13.0,6.0,6.0,8.0,7.0,24.0,27.0,30.0,6.0,7.0,18.0
20241126,3,SO2,6.0,5.0,4.0,5.0,6.0,6.0,5.0,7.0,4.0,4.0,3.0,8.0,7.0,7.0,8.0,4.0,6.0,5.0,7.0,7.0,6.0
20241126,3,NO2,21.0,16.0,20.0,14.0,25.0,16.0,14.0,18.0,24.0,14.0,14.0,13.0,14.0,24.0,14.0,19.0,23.0,20.0,10.0,10.0,10.0
20241126,3,O3,25.0,24.0,22.0,30.0,21.0,34.0,22.0,25.0,18.0,32.0,17.0,33.0,39.0,23.0,32.0,24.0,24.0,21.0,34.0,34.0,26.0
20241126,3,CO,0.7,0.9,0.7,0.9,0.8,0.5,0.6,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.0,0.8,0.9,0.9,0.8,0.9
20241126,4,AQI,12.0,9.0,10.0,11.0,10.0,13.0,9.0,10.0,13.0,12.0,9.0,11.0,14.0,12.0,12.0,19.0,14.0,19.0,13.0,10.0,12.0
20241126,4,PM2.5,3.0,3.0,6.0,3.0,6.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,9.0,3.0,3.0,7.0
20241126,4,PM10,11.0,9.0,7.0,8.0,10.0,6.0,9.0,8.0,9.0,6.0,9.0,6.0,6.0,6.0,6.0,19.0,14.0,19.0,6.0,6.0,12.0
20241126,4,SO2,6.0,5.0,3.0,6.0,6.0,7.0,5.0,6.0,4.0,5.0,3.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,8.0,8.0,6.0
20241126,4,NO2,23.0,17.0,17.0,14.0,20.0,16.0,15.0,15.0,25.0,13.0,12.0,12.0,14.0,23.0,12.0,19.0,22.0,21.0,10.0,10.0,9.0
20241126,4,O3,26.0,27.0,31.0,34.0,32.0,39.0,24.0,31.0,19.0,37.0,25.0,34.0,42.0,27.0,37.0,29.0,29.0,23.0,41.0,32.0,30.0
20241126,4,CO,0.7,0.9,0.6,0.9,0.7,0.5,0.6,0.8,0.7,0.8,0.8,0.8,0.7,0.8,0.9,1.0,0.8,0.8,0.9,0.8,0.9
20241126,5,AQI,12.0,10.0,11.0,10.0,12.0,14.0,9.0,10.0,14.0,13.0,9.0,10.0,13.0,12.0,12.0,15.0,12.0,19.0,15.0,13.0,9.0
20241126,5,PM2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20241126,5,PM10,9.0,7.0,6.0,7.0,8.0,6.0,8.0,6.0,7.0,,8.0,6.0,6.0,6.0,6.0,15.0,11.0,19.0,6.0,6.0,8.0
20241126,5,SO2,7.0,5.0,4.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,7.0,8.0,7.0,8.0,5.0,7.0,8.0,8.0,6.0,6.0
20241126,5,NO2,24.0,17.0,15.0,17.0,18.0,16.0,15.0,13.0,27.0,13.0,12.0,10.0,14.0,23.0,12.0,19.0,24.0,23.0,8.0,8.0,9.0
20241126,5,O3,29.0,30.0,35.0,29.0,37.0,43.0,28.0,31.0,20.0,39.0,27.0,32.0,40.0,29.0,36.0,31.0,28.0,22.0,46.0,40.0,27.0
20241126,5,CO,0.7,0.9,0.6,0.9,0.7,0.4,0.6,0.8,0.6,0.9,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.8,0.8,0.9
20241126,6,AQI,13.0,10.0,10.0,9.0,10.0,15.0,9.0,10.0,15.0,11.0,8.0,12.0,12.0,11.0,11.0,14.0,13.0,18.0,15.0,18.0,10.0
20241126,6,PM2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20241126,6,PM10,10.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,14.0,11.0,18.0,6.0,6.0,6.0
20241126,6,SO2,7.0,6.0,4.0,6.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,7.0,7.0,7.0,8.0,5.0,7.0,7.0,8.0,5.0,7.0
20241126,6,NO2,25.0,17.0,14.0,16.0,19.0,13.0,17.0,10.0,30.0,12.0,14.0,9.0,13.0,22.0,11.0,20.0,25.0,27.0,8.0,6.0,8.0
20241126,6,O3,30.0,30.0,31.0,26.0,32.0,45.0,27.0,31.0,15.0,35.0,23.0,38.0,36.0,29.0,33.0,26.0,25.0,17.0,45.0,57.0,31.0
20241126,6,CO,0.7,0.9,0.7,0.9,0.8,0.4,0.6,0.8,0.7,0.9,0.8,0.8,0.8,0.8,0.9,1.0,0.8,0.8,0.8,0.7,0.9
20241126,7,AQI,17.0,9.0,10.0,11.0,11.0,14.0,10.0,15.0,11.0,14.0,8.0,16.0,14.0,11.0,13.0,14.0,16.0,14.0,15.0,17.0,15.0
20241126,7,PM2.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20241126,7,PM10,12.0,7.0,6.0,6.0,7.0,6.0,8.0,6.0,7.0,6.0,8.0,6.0,6.0,6.0,6.0,14.0,16.0,12.0,6.0,6.0,6.0
20241126,7,SO2,7.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,6.0,7.0,7.0,7.0,4.0,7.0,6.0,9.0,5.0,6.0
20241126,7,NO2,34.0,18.0,14.0,12.0,21.0,13.0,20.0,9.0,22.0,11.0,11.0,8.0,12.0,16.0,11.0,21.0,29.0,27.0,8.0,6.0,7.0
20241126,7,O3,20.0,26.0,30.0,34.0,28.0,42.0,20.0,47.0,22.0,43.0,24.0,50.0,43.0,34.0,39.0,25.0,18.0,14.0,45.0,54.0,48.0
20241126,7,CO,0.7,0.9,0.6,0.8,0.8,0.4,0.6,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.9,1.0,0.8,0.8,0.8,0.7,0.8
20241126,8,AQI,14.0,12.0,12.0,18.0,12.0,14.0,11.0,15.0,13.0,17.0,10.0,16.0,17.0,14.0,15.0,12.0,16.0,14.0,15.0,16.0,16.0
20241126,8,PM2.5,3.0,3.0,3.0,10.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
20241126,8,PM10,14.0,8.0,6.0,18.0,8.0,6.0,9.0,6.0,7.0,6.0,10.0,6.0,6.0,7.0,6.0,12.0,14.0,14.0,6.0,6.0,6.0
