date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240614,0,AQI,23.0,55.0,25.0,33.0,24.0,35.0,42.0,33.0,21.0,22.0,30.0,25.0,29.0,33.0,32.0,32.0,35.0,29.0,39.0,23.0,36.0
20240614,0,PM2.5,12.0,24.0,16.0,12.0,12.0,16.0,20.0,18.0,10.0,10.0,15.0,14.0,14.0,14.0,12.0,15.0,12.0,10.0,14.0,11.0,18.0
20240614,0,PM10,23.0,60.0,25.0,33.0,24.0,35.0,42.0,33.0,21.0,22.0,30.0,25.0,29.0,33.0,32.0,32.0,35.0,29.0,39.0,23.0,36.0
20240614,0,SO2,4.0,4.0,4.0,3.0,6.0,6.0,4.0,6.0,2.0,2.0,3.0,7.0,4.0,5.0,3.0,2.0,5.0,7.0,4.0,5.0,5.0
20240614,0,NO2,28.0,22.0,38.0,48.0,10.0,47.0,24.0,37.0,24.0,37.0,35.0,22.0,42.0,53.0,45.0,28.0,19.0,17.0,30.0,9.0,28.0
20240614,0,O3,32.0,43.0,33.0,9.0,52.0,8.0,28.0,9.0,14.0,18.0,9.0,33.0,14.0,8.0,11.0,16.0,37.0,35.0,23.0,40.0,17.0
20240614,0,CO,0.8,0.6,0.4,0.7,0.6,0.6,0.3,0.5,0.5,0.8,0.7,0.6,0.8,0.9,0.8,1.1,0.7,0.6,0.7,0.6,0.5
20240614,1,AQI,24.0,57.0,30.0,31.0,26.0,33.0,48.0,38.0,24.0,21.0,33.0,28.0,29.0,31.0,31.0,31.0,24.0,32.0,34.0,22.0,34.0
20240614,1,PM2.5,12.0,26.0,17.0,12.0,12.0,16.0,25.0,20.0,12.0,10.0,16.0,15.0,14.0,13.0,12.0,16.0,12.0,11.0,12.0,11.0,16.0
20240614,1,PM10,24.0,63.0,30.0,31.0,26.0,33.0,48.0,38.0,24.0,21.0,33.0,28.0,29.0,31.0,31.0,31.0,24.0,32.0,34.0,22.0,34.0
20240614,1,SO2,4.0,4.0,4.0,4.0,6.0,6.0,4.0,6.0,2.0,2.0,3.0,7.0,4.0,5.0,3.0,2.0,5.0,8.0,4.0,5.0,5.0
20240614,1,NO2,25.0,15.0,43.0,50.0,14.0,50.0,22.0,37.0,32.0,33.0,35.0,19.0,41.0,48.0,39.0,38.0,14.0,15.0,28.0,15.0,27.0
20240614,1,O3,34.0,51.0,22.0,7.0,46.0,3.0,29.0,8.0,9.0,21.0,6.0,29.0,13.0,10.0,14.0,8.0,43.0,39.0,22.0,31.0,12.0
