date,hour,type,1345A,1346A,1348A,1349A,1350A,1351A,1352A,1353A,1354A,1355A,2846A,3298A,3299A,3300A,3301A,3302A,3303A,3304A,3443A,3445A,3446A
20240423,0,AQI,36.0,38.0,34.0,35.0,34.0,45.0,35.0,38.0,30.0,42.0,32.0,39.0,52.0,38.0,37.0,33.0,30.0,29.0,39.0,24.0,43.0
20240423,0,PM2.5,20.0,26.0,19.0,14.0,16.0,29.0,22.0,26.0,21.0,21.0,18.0,27.0,36.0,17.0,18.0,14.0,21.0,20.0,27.0,14.0,29.0
20240423,0,PM10,31.0,35.0,30.0,33.0,25.0,45.0,35.0,34.0,28.0,42.0,27.0,39.0,49.0,31.0,30.0,28.0,24.0,26.0,39.0,24.0,43.0
20240423,0,SO2,5.0,7.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,6.0,3.0,5.0,7.0,6.0,4.0,7.0
20240423,0,NO2,71.0,69.0,67.0,70.0,68.0,73.0,70.0,35.0,58.0,52.0,63.0,38.0,43.0,76.0,74.0,66.0,52.0,54.0,24.0,12.0,53.0
20240423,0,O3,4.0,11.0,4.0,3.0,2.0,5.0,4.0,22.0,7.0,11.0,4.0,2.0,18.0,3.0,1.0,2.0,15.0,1.0,23.0,22.0,7.0
20240423,0,CO,1.0,0.8,0.7,0.6,0.8,1.0,0.6,0.8,0.7,0.8,0.7,0.7,0.9,0.9,0.8,0.5,0.7,0.7,0.8,0.7,0.6
20240423,1,AQI,35.0,38.0,32.0,36.0,33.0,50.0,35.0,36.0,29.0,42.0,29.0,41.0,46.0,36.0,34.0,31.0,32.0,33.0,52.0,25.0,40.0
20240423,1,PM2.5,19.0,26.0,20.0,16.0,15.0,32.0,21.0,25.0,19.0,20.0,18.0,26.0,32.0,17.0,17.0,16.0,22.0,23.0,36.0,14.0,27.0
20240423,1,PM10,31.0,35.0,32.0,36.0,28.0,50.0,35.0,35.0,27.0,42.0,28.0,41.0,45.0,31.0,29.0,31.0,26.0,33.0,52.0,25.0,40.0
20240423,1,SO2,5.0,7.0,4.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,3.0,6.0,7.0,6.0,4.0,6.0
20240423,1,NO2,70.0,66.0,62.0,68.0,66.0,72.0,68.0,36.0,57.0,59.0,57.0,32.0,41.0,72.0,68.0,61.0,52.0,53.0,28.0,16.0,45.0
20240423,1,O3,4.0,10.0,4.0,3.0,4.0,3.0,2.0,16.0,4.0,5.0,3.0,2.0,13.0,3.0,1.0,3.0,15.0,2.0,37.0,16.0,3.0
20240423,1,CO,1.0,0.8,0.6,0.6,0.8,1.1,0.6,0.8,0.7,0.8,0.7,0.7,0.9,0.8,0.8,0.5,0.7,0.7,0.8,0.7,0.6
20240423,2,AQI,33.0,38.0,32.0,36.0,31.0,46.0,33.0,38.0,28.0,33.0,29.0,44.0,47.0,34.0,30.0,35.0,34.0,37.0,52.0,22.0,40.0
20240423,2,PM2.5,20.0,26.0,20.0,16.0,13.0,30.0,21.0,26.0,19.0,17.0,19.0,30.0,32.0,18.0,17.0,15.0,23.0,24.0,33.0,12.0,25.0
20240423,2,PM10,31.0,32.0,32.0,36.0,25.0,46.0,33.0,35.0,27.0,33.0,29.0,44.0,47.0,34.0,29.0,35.0,34.0,37.0,53.0,22.0,40.0
20240423,2,SO2,5.0,7.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,6.0,6.0,4.0,6.0
20240423,2,NO2,66.0,60.0,60.0,67.0,62.0,68.0,63.0,39.0,50.0,56.0,53.0,34.0,41.0,68.0,60.0,59.0,51.0,49.0,34.0,12.0,39.0
20240423,2,O3,4.0,10.0,4.0,3.0,3.0,3.0,2.0,14.0,3.0,6.0,5.0,2.0,9.0,3.0,1.0,2.0,12.0,2.0,21.0,19.0,2.0
20240423,2,CO,1.0,0.8,0.6,0.6,0.7,1.0,0.6,0.8,0.7,0.7,0.7,0.7,0.9,0.8,0.8,0.5,0.7,0.7,0.8,0.7,0.7
20240423,3,AQI,31.0,35.0,35.0,35.0,30.0,46.0,32.0,38.0,27.0,35.0,29.0,43.0,50.0,33.0,30.0,35.0,35.0,32.0,52.0,21.0,43.0
20240423,3,PM2.5,19.0,24.0,22.0,17.0,14.0,30.0,20.0,25.0,18.0,17.0,20.0,30.0,34.0,18.0,17.0,15.0,24.0,22.0,30.0,11.0,26.0
20240423,3,PM10,30.0,30.0,35.0,35.0,26.0,46.0,32.0,38.0,27.0,35.0,29.0,42.0,50.0,33.0,30.0,35.0,34.0,32.0,53.0,21.0,43.0
20240423,3,SO2,7.0,7.0,4.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0
20240423,3,NO2,62.0,58.0,58.0,65.0,60.0,67.0,61.0,39.0,46.0,47.0,51.0,33.0,43.0,65.0,55.0,55.0,44.0,40.0,35.0,18.0,34.0
20240423,3,O3,6.0,10.0,3.0,3.0,2.0,2.0,3.0,7.0,3.0,10.0,7.0,2.0,5.0,3.0,1.0,2.0,18.0,13.0,14.0,12.0,2.0
20240423,3,CO,0.9,0.8,0.6,0.6,0.8,1.0,0.6,0.9,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.5,0.7,0.6,0.8,0.7,0.6
20240423,4,AQI,32.0,36.0,30.0,38.0,30.0,39.0,31.0,39.0,30.0,32.0,30.0,45.0,48.0,33.0,33.0,32.0,35.0,27.0,38.0,23.0,44.0
20240423,4,PM2.5,20.0,25.0,19.0,17.0,13.0,25.0,20.0,24.0,20.0,19.0,21.0,31.0,31.0,18.0,20.0,15.0,24.0,17.0,22.0,12.0,27.0
20240423,4,PM10,32.0,31.0,30.0,38.0,25.0,39.0,31.0,39.0,30.0,32.0,30.0,41.0,48.0,33.0,33.0,32.0,34.0,27.0,38.0,23.0,44.0
20240423,4,SO2,6.0,6.0,4.0,7.0,4.0,6.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,4.0,3.0,5.0,6.0,6.0,5.0,6.0
20240423,4,NO2,61.0,55.0,57.0,63.0,59.0,65.0,56.0,42.0,49.0,49.0,51.0,33.0,43.0,63.0,63.0,58.0,46.0,23.0,34.0,15.0,30.0
20240423,4,O3,4.0,11.0,4.0,3.0,3.0,2.0,5.0,3.0,2.0,12.0,4.0,2.0,4.0,5.0,1.0,2.0,16.0,28.0,24.0,12.0,2.0
20240423,4,CO,0.9,0.7,0.6,0.6,0.8,0.9,0.5,0.9,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.5,0.7,0.6,0.7,0.7,0.6
20240423,5,AQI,31.0,36.0,30.0,41.0,30.0,31.0,30.0,38.0,29.0,34.0,29.0,42.0,45.0,34.0,40.0,31.0,29.0,27.0,16.0,14.0,48.0
20240423,5,PM2.5,20.0,25.0,18.0,21.0,13.0,19.0,20.0,23.0,20.0,21.0,20.0,29.0,27.0,19.0,25.0,15.0,20.0,18.0,9.0,8.0,29.0
20240423,5,PM10,31.0,30.0,30.0,41.0,25.0,31.0,30.0,38.0,29.0,34.0,29.0,38.0,45.0,34.0,40.0,31.0,26.0,27.0,16.0,14.0,48.0
20240423,5,SO2,5.0,6.0,4.0,6.0,4.0,6.0,5.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,4.0,3.0,5.0,6.0,6.0,5.0,6.0
20240423,5,NO2,56.0,54.0,58.0,56.0,60.0,61.0,55.0,40.0,47.0,39.0,53.0,27.0,47.0,62.0,60.0,61.0,54.0,32.0,25.0,10.0,24.0
20240423,5,O3,7.0,10.0,4.0,3.0,2.0,2.0,5.0,2.0,2.0,14.0,3.0,15.0,4.0,5.0,1.0,2.0,4.0,20.0,32.0,27.0,4.0
20240423,5,CO,0.9,0.7,0.6,0.7,0.7,0.8,0.5,0.8,0.8,0.7,0.7,0.5,0.8,0.8,0.9,0.5,0.7,0.6,0.7,0.6,0.6
20240423,6,AQI,27.0,30.0,33.0,42.0,32.0,29.0,30.0,35.0,29.0,37.0,29.0,17.0,39.0,34.0,41.0,36.0,31.0,29.0,15.0,15.0,45.0
20240423,6,PM2.5,18.0,21.0,20.0,23.0,15.0,18.0,18.0,22.0,20.0,22.0,19.0,10.0,25.0,19.0,27.0,16.0,21.0,18.0,4.0,4.0,28.0
20240423,6,PM10,27.0,27.0,33.0,42.0,26.0,29.0,26.0,35.0,28.0,37.0,29.0,14.0,39.0,34.0,41.0,36.0,31.0,29.0,8.0,10.0,45.0
20240423,6,SO2,5.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,4.0,5.0,6.0,4.0,6.0,5.0,4.0,3.0,6.0,6.0,6.0,5.0,6.0
20240423,6,NO2,54.0,58.0,56.0,52.0,64.0,52.0,60.0,38.0,51.0,34.0,56.0,14.0,49.0,60.0,61.0,57.0,56.0,31.0,29.0,8.0,26.0
20240423,6,O3,10.0,8.0,4.0,3.0,2.0,6.0,6.0,7.0,2.0,17.0,3.0,52.0,8.0,3.0,3.0,2.0,8.0,28.0,16.0,48.0,11.0
20240423,6,CO,0.8,0.7,0.6,0.7,0.7,0.8,0.6,0.8,0.7,0.7,0.7,0.4,0.8,0.9,1.0,0.5,0.7,0.6,0.7,0.6,0.5
20240423,7,AQI,30.0,35.0,41.0,51.0,30.0,28.0,31.0,33.0,30.0,26.0,32.0,13.0,42.0,29.0,42.0,39.0,26.0,29.0,16.0,12.0,27.0
20240423,7,PM2.5,18.0,24.0,26.0,31.0,17.0,18.0,19.0,21.0,21.0,18.0,22.0,8.0,29.0,17.0,29.0,18.0,18.0,20.0,3.0,3.0,18.0
20240423,7,PM10,26.0,30.0,41.0,52.0,29.0,25.0,27.0,33.0,28.0,26.0,32.0,12.0,42.0,29.0,40.0,39.0,26.0,25.0,5.0,9.0,27.0
20240423,7,SO2,5.0,7.0,5.0,6.0,4.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,6.0,4.0,4.0,3.0,6.0,6.0,5.0,4.0,6.0
20240423,7,NO2,60.0,55.0,55.0,55.0,59.0,55.0,61.0,37.0,55.0,24.0,52.0,17.0,45.0,57.0,52.0,54.0,32.0,26.0,31.0,11.0,13.0
20240423,7,O3,4.0,8.0,4.0,4.0,6.0,6.0,3.0,11.0,1.0,28.0,3.0,40.0,6.0,7.0,10.0,2.0,46.0,38.0,17.0,37.0,30.0
20240423,7,CO,0.9,0.8,0.7,0.8,0.7,0.8,0.7,0.8,0.8,0.7,0.8,0.5,0.8,0.9,0.9,0.6,0.7,0.6,0.7,0.6,0.4
20240423,8,AQI,31.0,36.0,40.0,37.0,30.0,22.0,31.0,23.0,29.0,19.0,32.0,14.0,18.0,28.0,26.0,36.0,29.0,28.0,20.0,11.0,34.0
20240423,8,PM2.5,17.0,25.0,27.0,25.0,19.0,9.0,19.0,15.0,20.0,11.0,22.0,5.0,12.0,10.0,18.0,19.0,20.0,19.0,2.0,4.0,22.0
20240423,8,PM10,24.0,29.0,40.0,37.0,30.0,12.0,24.0,23.0,26.0,19.0,29.0,7.0,17.0,16.0,24.0,36.0,25.0,28.0,4.0,9.0,34.0
20240423,8,SO2,5.0,7.0,5.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,6.0,4.0,6.0,4.0,3.0,3.0,5.0,6.0,5.0,4.0,6.0
20240423,8,NO2,62.0,58.0,58.0,54.0,52.0,43.0,61.0,26.0,57.0,25.0,54.0,18.0,35.0,55.0,50.0,56.0,36.0,29.0,21.0,10.0,22.0
20240423,8,O3,5.0,10.0,4.0,4.0,10.0,24.0,5.0,35.0,3.0,26.0,3.0,43.0,13.0,14.0,17.0,3.0,31.0,25.0,62.0,33.0,24.0
20240423,8,CO,1.0,0.9,0.8,0.8,0.8,0.8,0.7,0.7,0.9,0.7,1.0,0.5,0.8,0.9,0.9,0.7,0.7,0.6,0.6,0.6,0.4
20240423,9,AQI,31.0,35.0,33.0,33.0,29.0,24.0,31.0,19.0,27.0,12.0,29.0,16.0,20.0,25.0,25.0,35.0,40.0,28.0,16.0,15.0,30.0
20240423,9,PM2.5,16.0,24.0,23.0,23.0,20.0,8.0,19.0,12.0,18.0,8.0,20.0,5.0,10.0,9.0,16.0,19.0,28.0,19.0,2.0,2.0,20.0
20240423,9,PM10,23.0,29.0,31.0,31.0,26.0,11.0,24.0,19.0,22.0,12.0,26.0,7.0,15.0,13.0,21.0,35.0,30.0,22.0,3.0,5.0,30.0
20240423,9,SO2,5.0,7.0,4.0,5.0,4.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,6.0,4.0,3.0,3.0,6.0,6.0,6.0,4.0,6.0
20240423,9,NO2,62.0,57.0,58.0,48.0,54.0,48.0,61.0,25.0,54.0,20.0,53.0,17.0,39.0,50.0,50.0,55.0,54.0,34.0,31.0,11.0,25.0
20240423,9,O3,8.0,12.0,5.0,5.0,6.0,16.0,6.0,33.0,3.0,31.0,4.0,51.0,9.0,20.0,12.0,4.0,7.0,16.0,38.0,46.0,23.0
20240423,9,CO,1.1,0.9,0.8,0.7,0.9,0.9,0.8,0.7,1.0,0.6,0.9,0.6,0.9,1.0,0.9,0.7,0.9,0.7,0.7,0.6,0.4
20240423,10,AQI,31.0,27.0,30.0,26.0,26.0,30.0,29.0,19.0,24.0,11.0,26.0,13.0,19.0,26.0,23.0,30.0,40.0,29.0,13.0,19.0,
20240423,10,PM2.5,14.0,18.0,21.0,18.0,18.0,10.0,16.0,13.0,14.0,5.0,18.0,4.0,9.0,9.0,16.0,15.0,28.0,20.0,2.0,2.0,17.0
20240423,10,PM10,19.0,22.0,27.0,25.0,21.0,13.0,20.0,19.0,18.0,7.0,23.0,6.0,13.0,15.0,20.0,30.0,30.0,22.0,3.0,8.0,24.0
20240423,10,SO2,5.0,6.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,6.0,4.0,6.0,4.0,4.0,3.0,6.0,6.0,5.0,4.0,
20240423,10,NO2,61.0,53.0,53.0,44.0,51.0,59.0,58.0,34.0,48.0,17.0,49.0,21.0,37.0,52.0,46.0,48.0,51.0,38.0,21.0,9.0,25.0
20240423,10,O3,6.0,13.0,5.0,9.0,11.0,7.0,6.0,17.0,6.0,35.0,5.0,39.0,22.0,14.0,12.0,6.0,8.0,13.0,39.0,58.0,20.0
20240423,10,CO,1.2,0.9,0.8,0.8,1.0,1.0,0.8,0.7,0.9,0.6,0.9,0.5,0.8,1.0,0.9,0.7,0.9,0.7,0.6,0.6,0.5
20240423,11,AQI,31.0,25.0,28.0,22.0,26.0,25.0,27.0,18.0,,10.0,26.0,14.0,17.0,27.0,24.0,28.0,36.0,30.0,15.0,19.0,
